column,mean_LOO_best,mean_Val_best,mean_mean_PCE,mean_std_PCE,mean_LOO_LAR,mean_LOO_full,mean_Val_LAR,mean_Val_full
U_251_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U_260_1,0.6400406200000001,0.49036880000000005,0.002465792328809702,9.764706855000231e-05,0.6400406200000001,1.30963602,0.49036880000000005,0.39830704000000006
U_281_1,0.0033159400000000007,0.0026483599999999998,-0.0030786932642938645,0.0009911368969220235,0.0033159400000000007,0.006298099999999999,0.0026483599999999998,0.0019797599999999997
U_289_1,0.00463592,0.0034000000000000002,-0.009190601713464402,0.0008029394102096715,0.00463592,0.009330499999999999,0.0034000000000000002,0.0026648400000000004
U_295_1,0.00510236,0.0033673999999999996,-0.004461543033302951,0.0009823129313437404,0.00510236,0.01021206,0.0033673999999999996,0.0028369600000000003
U_403_1,0.00655034,0.00419818,-0.006868230715923167,0.0008323837560677182,0.00655034,0.01214822,0.00419818,0.00309666
U_251_2,0.00872326,0.005985159999999999,-0.003402986696422206,0.0007076774658605363,0.00872326,0.0163883,0.005985159999999999,0.00437828
U_260_2,0.01088996,0.0073165800000000005,-0.009405023929570173,0.0006300799206062218,0.01088996,0.018119879999999998,0.0073165800000000005,0.0049495400000000005
U_281_2,0.01876484,0.012605119999999997,-0.006656095299378814,0.0004950243862378174,0.01876484,0.032049659999999994,0.012605119999999997,0.008886699999999999
U_289_2,0.024314540000000003,0.015961660000000003,-0.0007546454214195817,0.00038836113063079,0.024314540000000003,0.04293614,0.015961660000000003,0.011933
U_295_2,0.02527136,0.016792720000000004,-0.00015724468133511703,0.00037084564650484404,0.02527136,0.04486944,0.016792720000000004,0.0124934
U_403_2,0.015228059999999998,0.010201859999999998,-0.0005211139024241044,0.0005171420308448546,0.015228059999999998,0.026825719999999997,0.010201859999999998,0.00721102
U_320_19.2,0.00379886,0.00256288,-0.00014657193677172499,0.00023864874624869738,0.00379886,0.0067212800000000005,0.00256288,0.00222424
U_318_19.2,0.01720776,0.0117739,-0.003325488013246356,0.00026629602216975845,0.01720776,0.030765219999999992,0.0117739,0.00903438
U_316_19.2,0.01605496,0.0108008,-0.01063486262695642,0.0005774580911920305,0.01605496,0.030297959999999995,0.0108008,0.00824504
U_315_19.2,0.013844619999999998,0.010076579999999998,-0.01631419505956714,0.0008402525152153975,0.013844619999999998,0.025282199999999998,0.010076579999999998,0.0068438599999999985
U_314_19.2,0.00904774,0.00638098,-0.023975811556839664,0.0012615594980949249,0.00904774,0.01685248,0.00638098,0.0046708
U_313_19.2,0.00800072,0.005658399999999999,-0.028044977823115304,0.001425914514379721,0.00800072,0.015019380000000002,0.005658399999999999,0.00415928
U_312_19.2,0.0096147,0.006453459999999999,-0.02470554038604906,0.0011688501190972654,0.0096147,0.018167899999999997,0.006453459999999999,0.00495342
U_311_19.2,0.01523838,0.0106689,-0.01805299840439126,0.0007641079962525688,0.01523838,0.028497299999999996,0.0106689,0.007595160000000001
U_310_19.2,0.02030906,0.014827139999999999,-0.01164063065482325,0.0005053160519652954,0.02030906,0.037212800000000004,0.014827139999999999,0.00980644
U_308_19.2,0.020947280000000002,0.01371276,-0.003509905407024188,0.00024125293273776226,0.020947280000000002,0.037479,0.01371276,0.010940079999999998
U_306_19.2,0.00389444,0.0027424199999999998,-0.0002883432055798189,0.0002490728396100027,0.00389444,0.006574099999999999,0.0027424199999999998,0.00217684
