SM_6652_19,SM_6651_19,SM_6650_19,SM_6649_19,SM_6648_19,SM_6647_19,SM_6646_19,SM_6645_19,SM_6644_19,SM_6643_19,SM_6642_19,SM_6641_19,SM_6624_19,SM_6623_19,SM_6622_19,SM_6621_19,SM_6620_19,SM_6619_19,SM_6618_19,SM_6617_19,SM_6616_19,SM_6615_19,SM_6614_19,SM_6613_19,SM_6612_19,SM_6611_19,SM_6610_19,SM_6609_19,SM_6608_19,SM_6607_19,SM_6606_19,SM_6605_19,SM_6604_19,SM_6581_19,SM_6580_19,SM_6579_19,SM_6578_19,SM_6577_19,SM_6576_19,SM_6575_19,SM_6574_19,SM_6573_19,SM_6572_19,SM_6571_19,SM_6570_19,SM_6569_19,SM_6568_19,SM_6567_19,SM_6566_19,SM_6709_19,SM_6708_19,SM_6707_19,SM_6706_19,SM_6705_19,SM_6704_19,SM_6703_19,SM_6702_19,SM_6701_19,SM_6700_19,SM_6699_19,SM_6698_19,SM_6697_19,SM_6696_19,SM_6695_19,SM_6716_19,SM_6717_19,SM_6718_19,SM_6719_19,SM_6720_19,SM_6721_19,SM_6722_19,SM_6723_19,SM_6724_19,SM_6725_19,SM_6726_19,SM_6727_19,SM_6728_19,SM_6729_19,SM_6730_19,SM_6731_19,SM_6691_19,SM_6690_19,SM_6689_19,SM_6688_19,SM_6687_19,SM_6686_19,SM_6685_19,SM_6684_19,SM_6683_19,SM_6682_19,SM_6681_19,SM_6680_19,SM_6679_19,SM_6678_19,SM_6677_19,SM_6676_19,SM_6675_19,SM_6674_19,SM_6673_19,SM_6672_19,SM_6671_19,SM_6664_19,SM_6663_19,SM_6662_19,SM_6661_19,SM_6660_19,SM_6659_19,SM_6658_19,SM_6657_19,SM_6656_19,SM_6655_19,SM_6654_19,SM_6653_19
3075.7249,3290.159,4976.6343,8780.211,15607.952,26517.654,42599.117,64824.598,93726.055,128927.22,167705.61,203037.28,210627.14,171313.95,106365.24,46715.28,5143.609,-18358.303,-30900.912,-40436.94,-53419.043,-69648.6,-83030.984,-90629.67,-92240.83,-87292.44,-75095.49,-55111.258,-27386.143,7704.8945,48967.105,92454.484,114187.0,87567.12,38485.105,-3200.874,-41712.32,-76501.125,-101054.4,-114160.18,-118070.234,-110605.28,-88181.66,-48661.74,9620.593,77159.45,133847.64,169185.67,178864.88,155625.9,114033.79,74323.17,39856.57,12684.553,-6474.8955,-17508.365,-20280.531,-14787.811,-1301.1831,19818.965,48259.51,83156.19,122475.414,162449.48,185062.3,176021.92,139943.7,81146.93,11388.67,-48228.477,-88513.25,-111733.81,-120022.64,-115925.44,-102063.97,-77475.54,-43297.816,-6799.849,31252.205,75917.96,99642.01,78870.56,39441.027,3627.7205,-26239.527,-50268.168,-68927.445,-82372.79,-90369.266,-92331.32,-87644.164,-75615.37,-58938.42,-44305.85,-32807.89,-18408.031,6729.614,49692.72,110885.805,172433.89,212338.92,211327.23,178667.6,141217.5,106279.23,76870.2,53579.22,36090.52,23589.055,15051.0625,9484.924,6012.776,3988.8252
2382.6646,2543.2583,4117.667,7748.587,14350.942,25013.719,40881.87,63003.91,92004.07,127629.54,167300.98,204088.27,213341.61,175068.72,110111.81,49721.418,7143.7266,-17347.03,-30520.252,-40100.207,-52573.777,-67929.53,-80327.44,-87016.94,-87943.305,-82572.836,-70218.58,-50582.168,-23774.701,10217.159,50645.63,93716.13,116691.49,91123.18,41087.76,-1849.4429,-41571.637,-77297.95,-102066.91,-114343.555,-116941.69,-109444.12,-88320.71,-50024.195,7840.575,75765.01,133101.2,169621.22,182860.33,162127.22,120662.78,82160.93,49615.418,24458.158,6951.029,-3143.6018,-5916.396,-1377.7018,10439.033,29596.346,56242.883,89924.14,128970.77,169780.77,191633.64,179929.27,141858.58,81505.18,10482.4375,-49543.523,-89410.66,-111932.56,-119792.3,-116422.0,-103813.8,-79198.266,-43819.082,-5567.2344,34693.516,81508.16,104613.24,82106.555,42532.516,6946.422,-22343.828,-45656.99,-63648.203,-76741.42,-84979.805,-87677.35,-83937.33,-72938.09,-57287.22,-43551.06,-32628.508,-18401.875,7078.08,50973.438,113269.734,175353.45,214855.92,212425.62,178160.84,139769.8,104412.8,74939.7,51794.35,34549.5,22310.725,14004.474,8615.19,5259.3115,3293.573
-3838.1501,-3735.1155,-2301.0383,1132.384,7517.6445,17981.531,33715.66,55830.047,85030.18,121096.81,161388.0,198805.89,207495.72,167664.61,102544.22,44090.277,4640.261,-16461.13,-26824.96,-34526.844,-45865.027,-60700.438,-73197.445,-80603.234,-82807.984,-79178.266,-68863.83,-51275.2,-26284.424,6310.797,46036.54,89254.8,110301.45,84430.305,38530.26,-82.194885,-35781.453,-68303.484,-91275.23,-103185.36,-106308.5,-99294.29,-78771.586,-41999.73,13199.619,77547.54,130833.04,162729.23,169638.52,147031.31,109219.4,73648.44,43179.457,19425.562,2761.7485,-6880.7197,-9400.527,-4764.5894,6861.545,25276.88,50423.684,81720.805,117384.164,153958.75,175784.48,169421.78,137291.97,82395.836,16154.626,-40258.715,-77966.01,-99694.85,-107866.94,-104914.23,-92846.375,-70093.71,-37947.97,-3825.2612,31809.205,74122.23,97318.74,76745.31,37227.06,2783.8203,-24720.773,-46072.89,-62243.684,-73766.19,-80663.43,-82327.78,-77881.8,-66479.03,-50860.906,-37721.65,-28126.217,-16123.664,6241.732,46554.54,105922.21,167015.12,206837.16,204620.44,170286.73,131778.58,96421.34,67073.016,44142.676,27158.826,15203.721,7178.746,2041.1425,-1116.5586,-2960.6028
12981.99,13263.931,14796.029,18191.715,24339.418,34301.973,49181.895,69964.19,97166.17,130396.25,166962.53,199901.1,206950.6,170094.6,108432.94,51139.168,10400.119,-13612.684,-27329.367,-38378.598,-53099.32,-70916.81,-85449.35,-93671.1,-95352.53,-90014.945,-77186.39,-56482.477,-28136.125,6985.981,47041.875,87691.07,107361.734,81265.57,33390.996,-8002.667,-47041.566,-82340.984,-107365.64,-121408.69,-126480.4,-118852.26,-94540.94,-52619.297,7907.2695,77272.19,135392.69,171949.14,182026.45,158131.14,114940.33,72563.35,34914.312,4616.298,-17077.035,-29606.4,-32594.172,-26061.508,-10563.734,13161.78,44375.445,81801.5,123069.48,164199.88,187381.0,178035.45,140575.27,79991.086,8371.358,-53296.094,-95572.83,-120064.98,-128375.734,-122839.19,-107225.59,-82016.43,-47941.246,-11858.86,24871.967,67028.05,89780.04,71685.46,35555.395,1283.8741,-28425.19,-53052.33,-72479.664,-86308.91,-93993.49,-95102.49,-89409.07,-76448.59,-58839.85,-43159.69,-30544.514,-15073.138,10702.038,53152.44,112038.58,169981.1,207513.95,207140.48,176658.19,141318.98,108262.92,80502.195,58638.766,42363.516,30851.379,23105.863,18189.297,15251.15,13638.223
16508.111,16204.81,16807.346,18974.783,23626.182,31842.207,44747.273,63375.406,88341.64,119413.086,154138.36,185944.81,193342.47,158817.61,100811.44,47324.08,9774.794,-11916.084,-24178.088,-34475.105,-48884.562,-66647.92,-81314.56,-89862.73,-92082.62,-87453.79,-75432.836,-55581.13,-27970.908,6767.0034,46885.207,88101.67,105849.53,78217.516,32684.93,-5334.8154,-40658.16,-72543.45,-95170.1,-108449.24,-114219.13,-108033.805,-85708.36,-46449.785,10616.039,76003.55,130276.11,162831.36,168873.95,144865.89,105380.79,66745.92,32323.092,4568.9653,-15338.904,-26819.377,-29378.77,-23039.172,-8478.801,13442.105,41944.746,75817.22,112988.984,150161.72,172757.64,167049.73,134422.23,78888.29,12236.94,-45250.734,-84429.55,-106942.7,-114437.63,-109003.11,-94574.336,-72038.05,-41478.953,-8874.54,24776.74,64796.594,89149.5,72697.836,35609.297,1082.4119,-28351.027,-52354.75,-70981.97,-83910.97,-90697.95,-91046.44,-84810.88,-71554.49,-53918.742,-38580.242,-26837.293,-12955.663,10428.574,49582.15,104190.53,157760.5,192431.73,191576.89,162393.67,129145.1,98526.97,73311.64,53947.688,40009.74,30574.635,24544.74,20887.111,18703.684,17352.555
11724.0205,11590.978,12469.723,15007.319,20131.205,28967.57,42725.188,62550.742,89189.18,122555.51,160326.14,195952.8,206447.17,171797.19,110480.836,52525.92,11089.855,-13033.692,-26304.537,-36316.508,-49351.17,-65242.48,-78094.52,-85203.7,-86576.84,-81735.4,-69970.016,-50831.09,-24266.053,9882.386,50977.58,95129.2,117411.24,91217.67,42476.81,536.20416,-38624.39,-74242.94,-99146.28,-111680.43,-114517.99,-106652.67,-84779.94,-46066.7,11577.246,78545.305,134197.61,168194.64,177420.4,155422.27,116234.54,79423.29,47966.484,23475.93,6321.302,-3624.3433,-6318.245,-1720.9238,10066.049,28957.525,54973.977,87528.734,124776.58,163092.14,185079.5,176677.98,141965.25,84073.03,14707.644,-44532.49,-84433.73,-107578.83,-116261.41,-113103.08,-100129.78,-75527.414,-40570.598,-3110.7422,35680.316,80401.11,103613.54,81979.164,41805.402,6091.84,-22978.898,-45909.13,-63456.395,-76037.336,-83635.266,-85623.52,-81281.96,-69941.76,-54170.848,-40362.15,-29363.596,-15206.857,9773.192,52267.01,111507.984,169186.95,205022.5,201573.83,168526.52,132253.78,99396.03,72542.15,51963.996,37106.773,26969.986,20410.744,16374.862,13959.665,12520.5625
8821.437,8736.208,9991.192,13307.856,19642.818,30039.602,45505.312,66893.6,94617.56,128194.0,164804.05,197304.05,202790.08,164303.22,103089.18,47847.934,8922.703,-13874.276,-26408.965,-36563.72,-50991.105,-69005.984,-84111.78,-93069.484,-95476.71,-90824.414,-78514.21,-58060.05,-29639.344,5663.981,45218.125,84149.05,100596.37,73496.13,28257.744,-10033.097,-46051.355,-78356.305,-101382.1,-115699.0,-122842.06,-117176.31,-93680.414,-51929.594,8163.889,76321.06,132700.55,166891.56,173656.69,148996.25,107842.164,66728.91,29490.701,-775.45105,-22508.889,-34958.023,-37615.336,-30588.441,-14715.572,9077.093,39915.688,76181.4,115203.92,153696.39,177420.36,171698.1,137204.23,78706.36,8716.849,-51967.008,-93537.86,-116943.55,-123564.445,-116268.76,-100423.67,-77266.125,-46332.434,-13463.8125,19784.768,58381.516,81844.69,67052.836,32344.213,-1403.2904,-31229.27,-56188.18,-75814.8,-89349.63,-96261.71,-96444.98,-89876.375,-76134.66,-57859.723,-41815.77,-29428.809,-14383.264,11135.808,52431.453,108955.89,165397.61,203313.77,204079.47,174381.38,139232.58,106053.04,78020.96,55859.543,39341.75,27684.98,19862.385,14852.911,11736.21,9838.181
2514.9016,2394.7634,3668.1086,7087.4165,13668.379,24532.832,40773.133,63309.465,92586.24,128072.4,166754.88,200994.81,206343.19,166068.34,103502.055,47776.438,8759.883,-13713.029,-25305.121,-34146.06,-47207.625,-64023.582,-78234.68,-86692.56,-89015.414,-84612.086,-72910.266,-53666.176,-27441.91,4524.906,40136.543,75253.375,92329.09,67505.414,21997.447,-16288.132,-51633.215,-83046.086,-104828.43,-116701.03,-121203.125,-115147.26,-93699.44,-54677.684,3127.5366,70416.59,127885.11,166051.86,180712.11,158953.5,113401.74,68517.414,28897.55,-2900.5417,-25648.299,-38790.824,-41965.406,-35269.15,-19360.043,5035.706,37299.91,76313.35,119799.94,163460.45,186234.66,173545.12,133665.48,72582.06,2080.5527,-57584.14,-97376.05,-119031.56,-124701.84,-118503.55,-104793.66,-82665.445,-52243.113,-19834.719,14016.056,54629.996,76704.625,61024.09,29805.334,-729.5652,-27810.105,-50654.457,-68883.125,-81860.62,-89003.43,-89972.23,-84468.03,-71858.85,-54763.17,-39913.098,-28495.72,-13843.935,11947.54,53931.89,111448.08,169459.7,208931.31,209422.06,177718.94,140323.12,105160.75,75538.85,52177.87,34789.914,22520.771,14272.578,8967.11,5647.2207,3613.6313
11694.2705,11494.019,12396.971,15089.126,20497.32,29661.943,43620.24,63290.402,89178.71,120939.75,155982.06,187564.52,193772.16,157730.27,99220.58,46089.76,8807.354,-12842.046,-24914.393,-35037.637,-49530.98,-67598.28,-82709.16,-91659.25,-94115.39,-89622.375,-77582.914,-57423.695,-29184.828,6286.1245,46661.293,87266.05,103375.79,74688.164,29674.504,-7324.4785,-41446.008,-72048.53,-93830.445,-107325.48,-114233.7,-109125.766,-87193.52,-47869.836,9270.767,74524.41,128598.85,160797.47,166076.62,141696.42,102457.58,63850.48,29158.787,1073.7615,-19036.926,-30500.73,-32844.156,-26174.34,-11296.866,10879.981,39521.617,73221.44,109754.195,146248.05,169115.83,164311.75,132153.1,76863.89,10512.84,-46777.062,-85687.77,-107516.6,-113809.766,-107159.32,-92506.13,-70930.06,-41742.957,-10352.403,22240.668,61472.75,86769.34,71795.84,34922.797,-15.423626,-30240.012,-55080.105,-74344.414,-87488.1,-94078.05,-94017.36,-87306.79,-73577.65,-55499.906,-39813.137,-27920.844,-13742.103,10340.149,49925.316,104693.31,159187.98,195335.89,195344.19,166071.98,132078.61,100380.74,73946.45,53357.418,38283.33,27868.97,21049.736,16797.354,14203.463,12612.046
849.89496,869.176,2189.825,5506.8257,11795.246,22184.59,37835.695,59786.957,88627.4,123979.26,163007.02,198356.53,205090.73,165024.58,101307.3,44627.12,6161.282,-14961.324,-25690.982,-33937.902,-46216.043,-62214.625,-75787.05,-83952.055,-86459.22,-82673.68,-71877.25,-53540.066,-27812.95,4691.2666,42617.637,82053.086,100905.35,75704.43,31040.19,-6438.775,-41266.965,-72881.87,-95287.18,-107789.01,-112643.11,-106437.62,-84958.914,-46585.875,10112.374,75803.17,130803.51,164573.2,172057.83,148056.42,107441.75,68198.01,33729.97,6189.3013,-13461.371,-24782.434,-27431.502,-21427.768,-7286.338,14305.929,42761.945,77099.43,115349.03,154018.88,177042.23,170180.28,136175.58,79495.82,11983.438,-45776.85,-84707.93,-106834.055,-114150.64,-109144.5,-95319.555,-72764.305,-42114.47,-9837.527,23470.258,63163.59,85402.375,67825.51,32505.18,92.44152,-27157.643,-49252.81,-66491.38,-78783.53,-85737.516,-86850.12,-81587.96,-69223.8,-52486.566,-38211.81,-27683.361,-14634.079,8874.946,49066.543,106341.23,164948.2,204160.44,203623.3,171396.3,134206.61,99621.04,70719.55,48073.414,31306.037,19534.268,11668.141,6658.178,3581.639,1761.7675
