column,mean_LOO_best,mean_Val_best,mean_mean_PCE,mean_std_PCE,mean_LOO_LAR,mean_LOO_full,mean_Val_LAR,mean_Val_full
U_251_1,0.3667552333333333,0.29934568333333333,1.65677812242729e-06,4.428872575746737e-06,0.3744848,1.4886205333333333,0.29346915,0.019121716666666667
U_260_1,0.4445179833333334,0.27530841666666667,0.002462620776200752,0.00011560982850431071,0.4445179833333334,3.478479666666667,0.27530841666666667,0.05835418333333333
U_281_1,0.00232035,0.00174775,-0.0030756494415390806,0.0009953583113148853,0.00232035,0.01958523333333333,0.00174775,0.0004035
U_289_1,0.0026228999999999996,0.0018594333333333331,-0.00918739991771908,0.000804431830907816,0.0026228999999999996,0.021682533333333334,0.0018594333333333331,0.00043665
U_295_1,0.0026088333333333332,0.001855,-0.004455811175667779,0.0009846028751065775,0.0026088333333333332,0.021842833333333336,0.001855,0.00042766666666666664
U_403_1,0.0020661499999999997,0.0014720999999999998,-0.006864435233070696,0.0008348439557103294,0.0020661499999999997,0.015175833333333333,0.0014720999999999998,0.0002891
U_251_2,0.0028273166666666666,0.001827366666666667,-0.0033997301716948013,0.000709175234015829,0.0028273166666666666,0.0152353,0.001827366666666667,0.0002940833333333333
U_260_2,0.0020127833333333334,0.00123125,-0.009405037510880619,0.0006336216469999566,0.0020127833333333334,0.016577366666666666,0.00123125,0.0003145166666666666
U_281_2,0.0012771666666666667,0.0007392166666666668,-0.006656377858363261,0.0004986684941990063,0.0012771666666666667,0.007878316666666668,0.0007392166666666668,0.00013455
U_289_2,0.0022806999999999997,0.0012982,-0.0007541149252870359,0.00039098554961352754,0.0022806999999999997,0.01355935,0.0012982,0.0002486333333333333
U_295_2,0.0023467500000000003,0.0014101666666666666,-0.00015582087157614446,0.000373326295438814,0.0023467500000000003,0.015179616666666666,0.0014101666666666666,0.00027845
U_403_2,0.0014738166666666665,0.0008806166666666666,-0.0005198788990507157,0.0005183853410004527,0.0014738166666666665,0.010216766666666667,0.0008806166666666666,0.000187
U_320_19.2,0.002817333333333333,0.0019452,-0.00014731960019270234,0.0002392564404214032,0.002817333333333333,0.016572966666666664,0.0019452,0.0003560666666666667
U_318_19.2,0.0022428833333333334,0.0014366333333333335,-0.0033257102383886677,0.0002704142155422305,0.0022428833333333334,0.006801850000000001,0.0014366333333333335,0.00013711666666666667
U_316_19.2,0.004271983333333334,0.002956183333333333,-0.010633038117701344,0.0005778076611731056,0.004271983333333334,0.018893566666666663,0.002956183333333333,0.0003614
U_315_19.2,0.0032598333333333333,0.0020862666666666666,-0.01631360460769648,0.0008387588671978284,0.0032598333333333333,0.021206700000000005,0.0020862666666666666,0.00041215
U_314_19.2,0.002945383333333334,0.0020182,-0.02397271472566311,0.0012592149189905191,0.002945383333333334,0.021345266666666668,0.0020182,0.0004250666666666667
U_313_19.2,0.002899,0.0019842166666666663,-0.028041107039169958,0.0014226956072307222,0.002899,0.020990566666666665,0.0019842166666666663,0.0004178166666666667
U_312_19.2,0.0028663166666666666,0.0018681833333333332,-0.024702417454360442,0.001165423075691407,0.0028663166666666666,0.020846116666666664,0.0018681833333333332,0.00041418333333333325
U_311_19.2,0.003405283333333333,0.0022632166666666665,-0.018051006919171816,0.0007637712535277262,0.003405283333333333,0.020013183333333334,0.0022632166666666665,0.00038983333333333334
U_310_19.2,0.0029704166666666663,0.0018988333333333333,-0.011640559475418808,0.0005084315274551482,0.0029704166666666663,0.01791966666666667,0.0018988333333333333,0.0003537166666666666
U_308_19.2,0.0023924499999999995,0.0014678833333333335,-0.003511087378051511,0.0002433216582327511,0.0023924499999999995,0.012282550000000001,0.0014678833333333335,0.00025393333333333334
U_306_19.2,0.0029476999999999997,0.002007633333333333,-0.00028909298348872163,0.0002498977239340654,0.0029476999999999997,0.019021933333333334,0.002007633333333333,0.0003982999999999999
