SF_6652_19,SF_6651_19,SF_6650_19,SF_6649_19,SF_6648_19,SF_6647_19,SF_6646_19,SF_6645_19,SF_6644_19,SF_6643_19,SF_6642_19,SF_6641_19,SF_6624_19,SF_6623_19,SF_6622_19,SF_6621_19,SF_6620_19,SF_6619_19,SF_6618_19,SF_6617_19,SF_6616_19,SF_6615_19,SF_6614_19,SF_6613_19,SF_6612_19,SF_6611_19,SF_6610_19,SF_6609_19,SF_6608_19,SF_6607_19,SF_6606_19,SF_6605_19,SF_6604_19,SF_6581_19,SF_6580_19,SF_6579_19,SF_6578_19,SF_6577_19,SF_6576_19,SF_6575_19,SF_6574_19,SF_6573_19,SF_6572_19,SF_6571_19,SF_6570_19,SF_6569_19,SF_6568_19,SF_6567_19,SF_6566_19,SF_6709_19,SF_6708_19,SF_6707_19,SF_6706_19,SF_6705_19,SF_6704_19,SF_6703_19,SF_6702_19,SF_6701_19,SF_6700_19,SF_6699_19,SF_6698_19,SF_6697_19,SF_6696_19,SF_6695_19,SF_6716_19,SF_6717_19,SF_6718_19,SF_6719_19,SF_6720_19,SF_6721_19,SF_6722_19,SF_6723_19,SF_6724_19,SF_6725_19,SF_6726_19,SF_6727_19,SF_6728_19,SF_6729_19,SF_6730_19,SF_6731_19,SF_6691_19,SF_6690_19,SF_6689_19,SF_6688_19,SF_6687_19,SF_6686_19,SF_6685_19,SF_6684_19,SF_6683_19,SF_6682_19,SF_6681_19,SF_6680_19,SF_6679_19,SF_6678_19,SF_6677_19,SF_6676_19,SF_6675_19,SF_6674_19,SF_6673_19,SF_6672_19,SF_6671_19,SF_6664_19,SF_6663_19,SF_6662_19,SF_6661_19,SF_6660_19,SF_6659_19,SF_6658_19,SF_6657_19,SF_6656_19,SF_6655_19,SF_6654_19,SF_6653_19
808.3354,-1679.4207,-5171.466,-10279.616,-17456.383,-26861.562,-38465.363,-51820.1,-65584.87,-77411.06,-80116.54,-63409.65,30915.777,120636.81,129740.81,100210.13,60048.996,30551.014,17800.816,18960.613,31085.494,33029.1,21099.467,9635.48,-3118.7166,-16896.408,-32437.363,-48394.184,-63747.62,-78187.39,-88708.4,-87187.86,-715.11237,108088.64,89891.67,78255.63,77086.44,64181.88,36333.117,17318.611,-1311.8668,-29247.744,-62548.875,-99235.69,-139357.67,-137156.08,-94956.055,-49737.113,10105.259,85446.71,85652.96,77706.65,64080.44,47698.523,31118.715,14270.257,-2866.2537,-19729.438,-35751.22,-51131.844,-65865.55,-77690.734,-84058.86,-80384.59,-12392.5625,48857.613,96666.805,140494.66,142982.44,101075.31,63840.387,31218.672,2713.6697,-19486.557,-37258.746,-63400.18,-75391.766,-71828.61,-81660.65,-98505.97,2819.0247,81196.625,78286.62,66569.664,54236.344,42954.062,32518.336,21864.928,10479.0,-2542.983,-16415.455,-32238.19,-33563.992,-22844.676,-21480.03,-34031.508,-62874.26,-102748.85,-133150.86,-104117.31,-49716.88,56499.37,76172.36,75959.36,65968.65,53498.16,41115.66,29927.814,20856.27,13827.2,8783.851,5320.887,2900.9082
860.1038,-1512.4762,-4883.167,-9866.542,-16953.883,-26360.986,-38099.426,-51765.832,-66040.086,-78679.48,-82475.97,-66963.2,27875.227,119667.04,130742.164,102063.19,62074.15,32337.86,18444.992,18485.785,29599.93,31053.447,19093.152,7964.329,-4217.368,-17504.947,-32465.135,-46959.55,-61470.566,-76018.53,-87504.98,-86705.12,-6224.8813,109341.61,92484.43,80709.9,79515.914,65554.13,35843.816,14413.667,-3777.612,-26915.516,-59558.32,-97217.95,-139666.02,-138426.4,-96339.055,-53193.746,-1014.29974,86309.914,84264.49,74122.57,59761.625,43729.12,28290.889,13235.932,-1829.342,-16841.723,-31769.408,-47039.035,-62578.242,-75978.13,-84650.07,-83232.17,-6535.222,53745.777,99815.41,143624.84,144982.02,100749.32,62456.645,29742.324,2433.426,-16230.545,-35384.246,-65385.625,-78281.74,-76013.195,-86385.195,-102449.32,9276.798,81757.54,78310.18,65627.07,52845.12,41451.33,31318.922,21640.08,11682.289,-771.3746,-14356.129,-30133.176,-31614.738,-21338.28,-20768.195,-34075.555,-64149.83,-105067.125,-135085.47,-104247.56,-48034.727,60489.527,78702.67,77251.41,66377.57,53349.508,40672.723,29380.184,20336.787,13405.288,8487.333,5145.089,2840.2346
886.07306,-1304.6259,-4520.956,-9426.467,-16512.062,-25994.87,-37921.11,-51913.062,-66705.19,-79806.516,-83866.445,-68134.46,31159.133,122390.06,128649.38,96690.9,55389.227,25956.762,13995.867,15694.931,28013.852,30612.94,19934.498,10020.219,-1102.4897,-13578.922,-28140.545,-43001.35,-58080.66,-73759.36,-86921.79,-87885.945,2757.1562,101605.766,83539.56,72210.18,71788.484,60279.164,33761.438,14995.605,-2210.2896,-26504.082,-57510.645,-93024.05,-132948.34,-130501.19,-87678.52,-42921.88,14631.6045,78300.2,77248.63,69081.46,56260.387,41457.277,27093.54,12573.197,-2207.3303,-16863.773,-30963.271,-44792.87,-58654.867,-70093.74,-76616.52,-73842.305,-15632.652,41297.156,88301.05,133126.84,136062.23,94879.94,59484.19,29468.178,3986.2769,-16073.923,-33328.805,-59814.914,-70728.1,-66911.28,-76826.234,-93850.24,284.2102,82930.49,76911.62,62403.062,48846.562,37517.914,27889.139,18716.707,9181.045,-2449.1614,-15533.81,-30587.656,-31055.338,-19596.61,-17393.824,-28876.084,-57342.65,-98063.55,-130799.18,-104714.31,-48799.895,60428.246,79043.88,77386.01,66243.89,52976.375,40172.4,28820.26,19744.375,12855.087,8015.149,4812.226,2678.7441
461.14035,-1606.4524,-4617.3184,-9176.806,-15796.707,-24673.697,-35772.266,-48650.613,-61850.676,-73138.2,-75403.24,-58401.496,28246.182,113833.92,123872.1,96995.71,60053.645,32515.852,20362.045,22232.785,34515.715,35852.875,22927.805,10327.259,-3526.2537,-18063.066,-33825.434,-49917.043,-64737.52,-77323.164,-84693.36,-79723.11,159.86537,105103.586,88006.31,78961.875,78507.75,64829.74,37614.957,19873.723,888.56036,-32116.223,-67408.12,-104208.51,-143572.19,-140417.62,-97559.17,-52122.89,10861.01,87387.4,90288.9,84039.46,70839.37,53799.188,35441.83,16100.893,-3809.9412,-23063.822,-40690.19,-56910.71,-71494.59,-82466.945,-87299.32,-81900.97,-13198.1,50894.11,100204.625,144166.44,146876.28,105574.92,67495.34,32769.277,1252.8274,-23918.018,-40000.047,-63199.98,-75175.43,-70368.625,-77791.24,-92252.195,479.75323,72708.62,73429.02,65191.094,54975.105,44636.09,33942.914,21993.15,9089.215,-4603.595,-18424.959,-33997.11,-35479.656,-24967.492,-23664.07,-35978.17,-63385.285,-100261.34,-126745.086,-96623.6,-48065.8,52166.914,71659.9,71896.82,62385.156,50385.88,38428.863,27685.271,19079.918,12384.3125,7588.0127,4347.4746,2204.6414
1274.0165,-41.931126,-2405.7217,-6398.9546,-12496.192,-20879.357,-31544.256,-44127.883,-57291.215,-68928.78,-72134.01,-57071.863,25642.22,107451.38,116162.69,90031.414,54721.38,28897.084,18373.014,21322.033,34226.543,35937.293,23385.797,11189.549,-2210.5698,-16511.994,-32109.941,-48185.56,-63491.535,-77015.17,-85253.375,-81457.57,9671.623,101813.06,81850.05,71508.88,70973.47,58499.664,34128.203,20233.215,3387.2534,-28708.41,-62686.277,-98028.42,-135584.86,-132120.8,-90100.484,-43198.414,18456.805,80219.87,82212.04,76722.23,64884.77,49288.844,32607.217,14620.617,-4091.9053,-21987.637,-37910.133,-52267.055,-64985.76,-74357.2,-78558.28,-74361.14,-18230.545,41253.81,90351.88,133648.72,137211.56,98128.65,62259.535,29903.6,778.7014,-23026.234,-36041.492,-56216.465,-67873.695,-63641.414,-72096.59,-89330.016,-8925.798,75468.93,74545.516,65107.484,53943.88,43145.727,32197.016,20097.766,7354.0415,-5944.5356,-19276.838,-34342.14,-35254.926,-23875.121,-21393.992,-32119.773,-58026.6,-92910.73,-117604.914,-88907.58,-44750.254,50628.586,67921.05,67143.02,57235.46,45195.516,33465.73,23153.713,15174.046,9320.892,5537.321,3332.3083,2156.321
1044.5303,-504.07974,-3065.6008,-7242.756,-13571.755,-22323.773,-33563.113,-46973.26,-61238.746,-74303.63,-79130.164,-65594.31,21792.01,111783.89,124590.984,98825.56,60910.8,32085.621,19073.56,19522.639,30726.086,32038.062,19945.408,8809.592,-3255.541,-16327.01,-31261.186,-46151.3,-61298.246,-76824.17,-89396.07,-89186.91,-938.7601,106592.09,90012.14,79162.24,78798.27,65841.3,36106.8,15204.829,-3588.6025,-28610.016,-60931.39,-97550.836,-138429.12,-135747.61,-92123.11,-47079.23,9304.002,81147.22,80061.414,71370.92,58034.598,42713.496,27856.412,13057.518,-1975.4722,-16936.77,-31551.928,-46162.934,-60862.324,-73059.914,-80168.5,-77452.25,-12744.972,46295.863,94058.08,139454.75,142429.55,100084.8,63260.812,31489.338,4054.9058,-16984.277,-36125.09,-64590.9,-77361.12,-73739.19,-82730.96,-97657.66,4037.7302,83468.3,79025.17,65427.66,52156.65,40590.93,30383.654,20503.318,10228.543,-2186.5386,-15374.0625,-30494.363,-31733.238,-21499.402,-20900.072,-33674.234,-62624.004,-101190.01,-127184.305,-95168.42,-42977.83,59297.695,74948.78,72400.26,61076.09,48011.117,35582.496,24771.275,16406.895,10238.395,6156.368,3654.771,2191.2244
1243.2084,-896.9865,-4201.0747,-9272.048,-16462.156,-25772.188,-37053.402,-49831.17,-62790.535,-73605.32,-75113.945,-56909.254,32857.273,115509.82,120470.625,92484.71,57572.355,30310.137,18011.16,21135.46,34482.24,36686.344,24413.059,11818.742,-2082.039,-16735.45,-33056.41,-49675.89,-65279.426,-77514.25,-82472.82,-74993.65,8468.105,100868.23,81608.2,72844.24,72441.16,58728.08,35533.805,23075.928,6165.9707,-29360.11,-66826.1,-104091.22,-141916.53,-137128.42,-93719.77,-46276.848,18576.838,82782.984,86514.69,82615.05,70573.734,53933.74,35472.26,15740.413,-4808.883,-24098.031,-41199.03,-56678.113,-70184.25,-79003.914,-81525.1,-76823.42,-20366.28,43447.49,95686.266,140269.58,144157.55,104267.05,65913.52,29903.402,-2799.1497,-27067.51,-37798.26,-57002.94,-68609.805,-63971.027,-70142.625,-85543.66,-9123.834,68953.41,71434.84,65065.746,55573.35,45379.78,34005.277,20739.977,7217.789,-6476.5674,-20091.873,-35490.125,-36624.87,-25224.703,-22527.09,-35473.57,-62902.6,-96292.44,-121609.62,-95973.484,-50193.53,49781.4,70859.79,71923.49,62860.055,51013.3,39011.91,28087.504,19265.22,12512.126,7837.6133,4823.2085,2887.0618
1360.9846,-872.953,-4299.6953,-9590.392,-17143.127,-26991.002,-38981.17,-52567.047,-66362.57,-77791.04,-79346.92,-59744.332,36078.316,119181.49,122011.875,92810.73,57598.39,29034.816,15652.768,18429.092,31923.354,34521.836,22958.709,11251.447,-1856.018,-15954.46,-31376.66,-46461.17,-59610.03,-69688.25,-74352.31,-67687.04,-1380.2706,101506.7,82057.125,72374.09,70195.945,57354.79,31816.684,16786.74,1643.6656,-26434.832,-61367.07,-98378.14,-138262.03,-137229.1,-98078.15,-58197.277,-1829.7303,91347.82,96040.82,88602.17,74384.14,56425.355,37153.3,16911.805,-3852.3557,-23694.398,-41751.734,-58606.348,-74120.63,-86371.016,-92522.04,-87086.54,-6472.2314,57656.445,103201.36,143183.45,143296.2,100956.2,61941.81,26710.365,-3497.683,-21876.572,-34248.227,-56339.137,-67201.2,-63523.234,-73019.47,-90803.49,1766.8578,61657.25,64615.305,58891.066,50643.375,41756.84,31973.84,20517.098,8373.925,-4455.39,-17807.783,-33193.383,-34267.816,-22979.338,-21034.701,-35448.023,-63978.266,-97871.734,-123853.53,-99781.58,-52381.723,53204.215,75581.87,76329.32,66509.04,53822.56,41075.59,29558.643,20281.693,13224.534,8327.605,5158.62,3102.3306
1251.9757,-438.50278,-3229.5146,-7706.6943,-14262.751,-22966.242,-33735.844,-46169.297,-58995.496,-70025.805,-72324.875,-55971.02,29185.045,109756.664,115798.51,89021.1,54702.88,28755.684,17783.287,21241.863,34630.09,36743.28,24376.629,11824.426,-1889.8868,-16283.337,-32413.477,-49125.84,-65093.973,-78377.71,-84930.21,-79306.516,14146.389,101608.555,79961.38,69280.13,68354.51,55906.29,33263.465,21981.734,6298.8027,-27209.4,-62575.59,-98405.67,-135513.73,-131643.81,-89766.29,-42072.38,20456.736,79741.41,81677.48,77142.54,65570.51,49964.348,32766.057,14393.207,-4752.928,-22685.053,-38517.203,-52712.867,-65111.75,-73520.984,-76765.76,-73360.94,-20307.807,39685.426,90029.14,132984.25,136656.61,97873.98,61416.668,27944.992,-2182.3909,-25042.809,-34943.617,-53383.434,-65131.035,-61487.777,-69981.766,-88267.24,-13808.527,74372.85,74769.98,66546.79,55704.59,44767.953,33151.66,20011.467,6643.3696,-6888.858,-20253.848,-35277.293,-36067.53,-24405.09,-21439.754,-33219.38,-59617.848,-92983.27,-118147.68,-91929.53,-47420.92,49936.56,68974.52,69115.1,59649.594,47733.094,35904.734,25329.994,16975.746,10725.691,6548.5547,3988.4792,2476.258
1013.0988,-1091.4233,-4273.385,-9201.1045,-16344.038,-25860.082,-37718.637,-51452.887,-65704.2,-77903.89,-80636.72,-62961.94,33789.477,120665.84,124964.59,93537.805,54748.312,26679.46,14683.435,17108.475,30223.86,32998.906,21898.344,11127.204,-986.29224,-14325.3545,-29343.678,-44825.918,-59234.438,-72237.49,-81165.61,-78341.55,2088.5269,99569.12,80591.38,70586.23,69898.84,58483.383,33238.395,17940.89,1930.5602,-27334.246,-60594.1,-96495.43,-135613.08,-133334.4,-91866.77,-46404.715,15758.603,82903.336,84175.34,77263.695,64529.297,48766.2,32071.812,14500.242,-3602.6272,-21095.25,-37079.1,-51746.145,-65314.883,-75941.03,-81408.36,-77669.83,-16710.44,44388.707,92772.0,135850.31,138502.0,97954.26,61419.74,29158.998,793.218,-21287.043,-35308.78,-57026.8,-67441.29,-62752.914,-71599.555,-88509.984,-1196.9507,72291.27,70571.19,60530.594,49689.6,39680.34,30045.635,19673.248,8454.006,-3953.8044,-17330.39,-32679.738,-33375.55,-21653.746,-18933.465,-31371.598,-59255.836,-95683.08,-125111.195,-100818.984,-50344.41,55232.848,75681.42,75392.45,65102.76,52302.344,39691.914,28421.37,19398.51,12555.669,7796.056,4701.619,2691.1558
