column,mean_LOO_best,mean_Val_best,mean_mean_PCE,mean_std_PCE,mean_LOO_LAR,mean_LOO_full,mean_Val_LAR,mean_Val_full,S1_Ec,ST_Ec,S1_Rel,ST_Rel,S1_Erat_1,ST_Erat_1,S1_E50_1,ST_E50_1,S1_c_1,ST_c_1,S1_phi_1,ST_phi_1,S1_k0_1,ST_k0_1,S1_Erat_2,ST_Erat_2,S1_E50_2,ST_E50_2,S1_c_2,ST_c_2,S1_phi_2,ST_phi_2,S1_k0_2,ST_k0_2
SM_6652_19,0.012873325,,4897.977371369398,6555.428445190623,0.012873325,0.041331925000000005,,,0.0006432355125589172,0.0006432355125589172,0.0002029181841979127,0.0002029181841979127,0.0007780667423934924,0.0007780667423934924,0.00018476109108703554,0.00018476109108703554,0.00010874738571979582,0.00010874738571979582,0.00016297720889550015,0.00016297720889550015,0.6772082479816766,0.6772082479816766,0.0002876030673041883,0.0002876030673041883,0.0,0.0,0.0009022666070359273,0.0009022666070359273,0.00028372465177286605,0.00028372465177286605,0.31923745156735783,0.31923745156735783
SM_6651_19,0.012416825000000001,,4790.08978909434,6419.2514888381265,0.012416825000000001,0.0403405,,,0.00022713528821763693,0.00022713528821763693,0.00022016465874777493,0.00022016465874777493,0.0007369226919302264,0.0007369226919302264,0.00019588600614102444,0.00019588600614102444,5.1533155223130115e-05,5.1533155223130115e-05,0.0001277799707372052,0.0001277799707372052,0.6723662159052631,0.6723662159052631,0.00024406002812282876,0.00024406002812282876,0.0,0.0,0.0009386071868631988,0.0009386071868631988,9.421829706126847e-05,9.421829706126847e-05,0.32479747681169263,0.32479747681169263
SM_6650_19,0.013597600000000001,,5781.0084942077865,6109.020234853554,0.013597600000000001,0.0439707,,,0.004247746065280988,0.004247746065280988,0.0001393107489027417,0.0001393107489027417,0.00027413963194139094,0.00027413963194139094,0.00020702540093763504,0.00020702540093763504,4.42598959628836e-05,4.42598959628836e-05,0.0,0.0,0.6469938992122907,0.6469938992122907,0.00018027709357945512,0.00018027709357945512,2.041952222994102e-05,2.041952222994102e-05,0.000870596846560008,0.000870596846560008,0.000222749375682494,0.000222749375682494,0.3467995762066318,0.3467995762066318
SM_6649_19,0.016535625,,8629.036641497854,5708.043798594427,0.016535625,0.0593343,,,0.026053670215867294,0.026053670215867294,0.00021668477026522452,0.00021668477026522452,0.000188569671390616,0.000188569671390616,0.0,0.0,0.00024317751276000727,0.00024317751276000727,0.00019411833731930708,0.00019411833731930708,0.5861521277775676,0.5861521277775676,0.0,0.0,4.205183300107492e-05,4.205183300107492e-05,0.0004184949984092003,0.0004184949984092003,0.0,0.0,0.3864911048834197,0.3864911048834197
SM_6648_19,0.024645425,,14157.819352936971,5298.697819257297,0.024645425,0.0978883,,,0.08963940767873262,0.08963940767873262,0.00010466983813004793,0.00010466983813004793,0.00035554247703632497,0.00035554247703632497,0.0,0.0,0.0005504310029322155,0.0005504310029322155,0.00010444118287457086,0.00010444118287457086,0.4670356378014947,0.4670356378014947,0.0004492970342848727,0.0004492970342848727,0.0001488817010809958,0.0001488817010809958,0.00012562496781567934,0.00012562496781567934,0.00021893954984145278,0.00021893954984145278,0.4412671267657765,0.4412671267657765
SM_6647_19,0.03517205,,23546.71645976387,5018.154714885741,0.03517205,0.1676784,,,0.2238368300306236,0.2238368300306236,0.00029154986361999626,0.00029154986361999626,0.0007216194360807152,0.0007216194360807152,0.0,0.0,0.0018778833775240518,0.0018778833775240518,0.00022520289905418275,0.00022520289905418275,0.27946667230366695,0.27946667230366695,0.003426416907237876,0.003426416907237876,0.0024515138041318585,0.0024515138041318585,0.001244456943051896,0.001244456943051896,0.002047171765762335,0.002047171765762335,0.48441068266924664,0.48441068266924664
SM_6646_19,0.05224709999999999,,37964.93360985092,5002.954485854436,0.05224709999999999,0.255741475,,,0.41721715955234584,0.41721715955234584,0.0010298022509551978,0.0010298022509551978,0.0009006029716383337,0.0009006029716383337,0.0,0.0,0.0029700935565672693,0.0029700935565672693,0.0005954295162873076,0.0005954295162873076,0.08898557426272496,0.08898557426272496,0.00998876201373138,0.00998876201373138,0.007156009402082389,0.007156009402082389,0.0023285416760737906,0.0023285416760737906,0.001983078081283354,0.001983078081283354,0.4668449467163103,0.4668449467163103
SM_6645_19,0.061578375,,58596.34364701739,5503.343205295227,0.061578375,0.332497175,,,0.5842437949273771,0.5842437949273771,9.949969513616081e-05,9.949969513616081e-05,0.0015092111264060981,0.0015092111264060981,0.0017518011887349002,0.0017518011887349002,0.004121333093371234,0.004121333093371234,0.000476242973820643,0.000476242973820643,0.005216279365919206,0.005216279365919206,0.025339150342126936,0.025339150342126936,0.01794774556725774,0.01794774556725774,0.0033800619625353385,0.0033800619625353385,0.0,0.0,0.3559148797573148,0.3559148797573148
SM_6644_19,0.07316642500000001,,86074.55290877896,6153.7857901353855,0.07316642500000001,0.3839881,,,0.6725787982041032,0.6725787982041032,0.00038095238066930824,0.00038095238066930824,0.0007540760992214664,0.0007540760992214664,0.0024568842668100904,0.0024568842668100904,0.0026791757403579123,0.0026791757403579123,0.0,0.0,0.032482236312053527,0.032482236312053527,0.044512050675219426,0.044512050675219426,0.030981015894541816,0.030981015894541816,0.005140633304525256,0.005140633304525256,0.0017380205331062886,0.0017380205331062886,0.20629615658939182,0.20629615658939182
SM_6643_19,0.091020325,,120209.78530470081,6828.926449857543,0.091020325,0.415157075,,,0.6896979040251164,0.6896979040251164,0.0013567965382948887,0.0013567965382948887,0.0020339873538282316,0.0020339873538282316,0.0,0.0,0.0,0.0,0.0,0.0,0.12830927623293037,0.12830927623293037,0.059721603705860465,0.059721603705860465,0.03511118633741515,0.03511118633741515,0.0026354073338705503,0.0026354073338705503,0.0004816403265372215,0.0004816403265372215,0.08065219814614669,0.08065219814614669
