Ec;Rel;Erat_1;E50_1;c_1;phi_1;k0_1;Erat_2;E50_2;c_2;phi_2;k0_2;U_251_1;U_260_1;U_281_1;U_289_1;U_295_1;U_403_1;U_251_2;U_260_2;U_281_2;U_289_2;U_295_2;U_403_2;U_320_19.2;U_318_19.2;U_316_19.2;U_315_19.2;U_314_19.2;U_313_19.2;U_312_19.2;U_311_19.2;U_310_19.2;U_308_19.2;U_306_19.2
14.2;30.43;2.95;73.6;32.4;30.2;0.753;2.89;122;5.48;42.2;0.577;0;0.0025;-0.002940017;-0.008859809;-0.003959014;-0.006306119;-0.002912879;-0.008704364;-0.006111693;-0.000430624;0.000106147;-0.000157803;-0.000130894;-0.003091278;-0.009992081;-0.015600427;-0.023058912;-0.027075605;-0.023837518;-0.017360061;-0.011137956;-0.003435354;-0.000302542
13.3;43.27;2.23;64.7;32.6;30.6;0.617;2.64;115;5.23;41.8;0.587;0;0.0025;-0.00309354;-0.008987219;-0.004038798;-0.006714159;-0.00347208;-0.009209191;-0.006498145;-0.000762779;-0.000184376;-0.000573992;-0.000196964;-0.003187275;-0.010202933;-0.01609259;-0.023705957;-0.027810607;-0.024464337;-0.017823879;-0.011476454;-0.003711679;-0.000390888
12.7;48.41;2.98;71.4;33.1;33.4;0.94;2.64;119;4.5;40.2;0.48;0;0.0025;-0.003952683;-0.010070517;-0.005570398;-0.007659285;-0.004026047;-0.010010696;-0.007002941;-0.001087803;-0.000482262;-0.000890451;3.12572E-05;-0.00340396;-0.011392491;-0.017275022;-0.025388848;-0.0296028;-0.026034687;-0.018969543;-0.012260947;-0.003430668;-8.45885E-05
13.1;46.48;2.02;74;31.6;28.9;1.09;2.4;123;3.44;41.8;0.469;0;0.0025;-0.003688565;-0.01013119;-0.005852169;-0.008039982;-0.004174482;-0.010350208;-0.007392386;-0.001312517;-0.000718603;-0.001241528;-5.16884E-05;-0.003640774;-0.011709588;-0.017385071;-0.025433764;-0.029567147;-0.02606422;-0.019083148;-0.012402327;-0.003441461;-0.000127476
13.1;55.99;2.59;67.2;19.6;30.7;0.974;2.47;123;5.85;41.2;0.546;0;0.0025;-0.002791543;-0.009148521;-0.004518677;-0.007039779;-0.00345909;-0.009617019;-0.006890332;-0.000854128;-0.000255441;-0.000679749;-0.000215473;-0.003478327;-0.010769519;-0.016252952;-0.02382714;-0.027829936;-0.02457175;-0.018029759;-0.011669631;-0.003507813;-0.000334162
14.3;61.75;2.83;60.8;39.8;29.8;0.847;2.87;137;5.12;41.9;0.49;0;0.0025;-0.004037982;-0.009773623;-0.005100631;-0.006786855;-0.003098366;-0.008735822;-0.005845949;-0.000302;0.000217757;-4.8016E-06;0.000215421;-0.002863936;-0.010425524;-0.016202375;-0.024095142;-0.028262101;-0.02476392;-0.017859694;-0.011381038;-0.002999408;8.20733E-05
14.6;54.2;2.68;63.2;26.8;29.8;0.763;2.74;130;3.38;43.5;0.649;0;0.0025;-0.001822413;-0.007927806;-0.002919366;-0.00560848;-0.002229477;-0.008285639;-0.005993369;-0.000213397;0.000316352;6.17932E-05;-0.000416363;-0.003224456;-0.009493609;-0.01476636;-0.021678388;-0.025496405;-0.022583017;-0.016651688;-0.010727701;-0.003648533;-0.000620617
12;32.04;2.26;64;30.2;29.7;0.813;2.11;148;3.36;42.1;0.472;0;0.0025;-0.00436509;-0.010268684;-0.005734509;-0.00776205;-0.004222756;-0.01009411;-0.006910702;-0.001057191;-0.000423672;-0.000840156;0.000126946;-0.003264257;-0.011412301;-0.017592946;-0.025906656;-0.030225389;-0.026474165;-0.019176345;-0.012326849;-0.003393413;1.76337E-05
14;40.15;2.34;70.4;27.1;30.6;0.698;2.92;128;4.1;41.6;0.61;0;0.0025;-0.002575785;-0.008457602;-0.003394117;-0.005808537;-0.002526804;-0.008359492;-0.005898411;-0.000213984;0.000330191;0.000134754;-0.000192295;-0.003045601;-0.009683537;-0.015224319;-0.022518894;-0.026484616;-0.02334316;-0.017034449;-0.010923805;-0.003494832;-0.000387968
12.8;38.19;2.06;63.8;39.3;28.8;0.977;2.02;117;3.49;41.3;0.598;0;0.0025;-0.001990047;-0.008747383;-0.004177068;-0.007564268;-0.0039313;-0.010359099;-0.007557429;-0.001246548;-0.000613605;-0.001402403;-0.000531295;-0.00382699;-0.010844983;-0.016209107;-0.023496436;-0.02740324;-0.024299253;-0.018034637;-0.011765949;-0.003880068;-0.000659139
12.6;39.08;2.73;65.1;32.3;27;0.899;2.09;130;2.47;40.6;0.473;0;0.0025;-0.004268032;-0.010474566;-0.006139571;-0.00846541;-0.004707314;-0.010627373;-0.007394217;-0.001424729;-0.000808576;-0.001442522;4.17653E-05;-0.003505511;-0.011743367;-0.017825201;-0.026118597;-0.030405678;-0.02670302;-0.019451141;-0.012590609;-0.003535256;-6.04242E-05
13.6;68.19;2.63;72.1;36.5;27.8;1.02;2.64;127;4.77;43;0.577;0;0.0025;-0.002195462;-0.008580868;-0.003843932;-0.006324073;-0.002775727;-0.009093302;-0.006608053;-0.000585532;-9.7674E-06;-0.000302979;-0.000312081;-0.003460633;-0.01036985;-0.015585069;-0.02279194;-0.026663633;-0.023617344;-0.017419662;-0.011271071;-0.003472286;-0.000440989
12.5;65.6;2.14;62;22.9;29.9;1.06;2.98;121;4.46;43.5;0.567;0;0.0025;-0.002138472;-0.008501008;-0.003684735;-0.006049542;-0.002817632;-0.00927587;-0.006943448;-0.000828409;-0.000202958;-0.00033277;-0.000393276;-0.00367398;-0.010759315;-0.016021231;-0.023311738;-0.027192466;-0.024125496;-0.017871033;-0.011621044;-0.003638101;-0.000516039
14.1;63.96;2.97;61.6;29.9;29.6;0.863;2.8;133;4.4;42.2;0.649;0;0.0025;-0.00154215;-0.007770166;-0.002739406;-0.005401599;-0.002020739;-0.00826689;-0.006036091;-0.000135152;0.000417641;0.000210927;-0.000448546;-0.003310374;-0.009575753;-0.014701965;-0.021512635;-0.025283027;-0.022443503;-0.016613279;-0.010723493;-0.003617586;-0.00064015
12.7;62.51;2.21;70.9;32.2;30.7;0.661;2.74;130;4.95;42.4;0.513;0;0.0025;-0.004167548;-0.009749859;-0.004912759;-0.006874325;-0.003610629;-0.00914851;-0.006278486;-0.000692339;-0.000103836;-0.000322916;0.000116653;-0.002994636;-0.010655059;-0.016818248;-0.024897458;-0.029174272;-0.025543807;-0.018446384;-0.011795798;-0.003384818;-4.61044E-05
11.8;50.14;2.19;62.6;34.8;30;0.979;2.85;145;2.58;41.5;0.621;0;0.0025;-0.001533572;-0.007816745;-0.002709953;-0.005150064;-0.002067427;-0.008639445;-0.006453084;-0.000297415;0.000365768;0.000374044;-0.000444846;-0.003532345;-0.010187983;-0.015358229;-0.022387188;-0.026195465;-0.023265235;-0.017256547;-0.011180783;-0.00365335;-0.000598405
12.9;53.77;2.63;61.8;23.6;29.3;0.699;2.34;114;5.6;42.7;0.533;0;0.0025;-0.003857857;-0.009848696;-0.005241044;-0.007853643;-0.004441162;-0.010117484;-0.007122625;-0.001316191;-0.000717129;-0.001285453;-9.84679E-05;-0.00337878;-0.011058367;-0.017185448;-0.025224794;-0.029468643;-0.025876315;-0.018829685;-0.012161768;-0.003714363;-0.000246975
11.4;38.4;2.1;67.9;22.7;30.1;0.789;2.03;120;5.49;41;0.632;0;0.0025;-0.001875106;-0.008379933;-0.003520234;-0.007002016;-0.00386692;-0.01025296;-0.007523915;-0.001219003;-0.000516298;-0.001150906;-0.000606975;-0.003791186;-0.010683614;-0.016287772;-0.023655955;-0.027627952;-0.024466034;-0.018134601;-0.011820922;-0.004126166;-0.00077754
13.3;62.31;2.19;66.6;32.3;29.6;1.04;2.01;122;6.97;40.8;0.607;0;0.0025;-0.001694025;-0.008535815;-0.00397359;-0.007308024;-0.003493153;-0.010012796;-0.007269893;-0.000945888;-0.000335016;-0.001105046;-0.000518785;-0.003737922;-0.010558121;-0.015721248;-0.022806054;-0.02663294;-0.02364197;-0.01756223;-0.011430378;-0.003724041;-0.000640622
13.2;65.18;2.69;60.2;33.9;30.1;1.04;3;136;4.76;41.6;0.469;0;0.0025;-0.003708235;-0.009725019;-0.005121379;-0.006725583;-0.003040763;-0.009091199;-0.006277449;-0.000456783;0.000113417;-0.000050049;0.000125047;-0.003162665;-0.01092149;-0.01650629;-0.024422538;-0.02853614;-0.02508851;-0.018214466;-0.011696899;-0.003051922;2.48022E-05
14;48.13;2.76;69.5;41;27.9;1.09;2.58;125;4.63;42.1;0.573;0;0.0025;-0.002207688;-0.008730231;-0.004104226;-0.006624325;-0.002880276;-0.009231052;-0.006699711;-0.000625586;-6.22786E-05;-0.000447424;-0.000298971;-0.003501541;-0.010477458;-0.015613707;-0.022803968;-0.026657479;-0.023627235;-0.017445168;-0.0112994;-0.00341236;-0.000410941
14.5;69.73;2.59;74.2;28.1;29;0.741;2.34;119;4.62;40.3;0.527;0;0.002;-0.003873974;-0.0098814;-0.005315245;-0.007833653;-0.004046567;-0.009628179;-0.00654733;-0.00086104;-0.000329043;-0.000961185;0.000033414;-0.003109115;-0.010594399;-0.016528886;-0.024407815;-0.028600827;-0.02508781;-0.018182185;-0.011671715;-0.003397843;-0.000113225
13.2;65.56;2.38;59.3;28.1;29.4;0.956;2.03;128;4.72;41.9;0.497;0;0.0025;-0.003658549;-0.010055265;-0.005738074;-0.008301618;-0.004448369;-0.010442121;-0.007340748;-0.001311165;-0.0007159;-0.001412271;-7.63418E-05;-0.003545202;-0.011417843;-0.017211337;-0.025217175;-0.029373053;-0.02584878;-0.018878309;-0.012236308;-0.0035144;-0.000172897
11.4;42.73;2.78;64.9;22.5;28.7;0.664;2.39;131;3.2;42.2;0.64;0;0.0025;-0.002030504;-0.00810488;-0.00295932;-0.005929776;-0.003039386;-0.009255452;-0.006803614;-0.000748015;-6.15211E-05;-0.000313486;-0.000492935;-0.003494767;-0.010207598;-0.015899708;-0.023251278;-0.027237842;-0.024082469;-0.017759278;-0.011508351;-0.004030242;-0.000698396
14.4;61.79;2.57;58.3;35.9;30.1;0.833;2.73;146;2.88;43.9;0.529;0;0.0025;-0.003472914;-0.009254509;-0.004472172;-0.006331955;-0.002788052;-0.00846578;-0.005780687;-0.000208107;0.000310318;0.000129794;8.76867E-05;-0.002893312;-0.010081242;-0.015699951;-0.023341892;-0.027411109;-0.024060518;-0.017391082;-0.011093181;-0.003082837;-5.59892E-05
14;64.39;2.43;62.6;33.5;29.4;0.982;2.76;113;5.33;42.5;0.53;0;0.0025;-0.003131561;-0.009401718;-0.004857848;-0.007200799;-0.003516834;-0.009565627;-0.00684521;-0.000942205;-0.000387507;-0.000802113;-0.00015315;-0.003441614;-0.01084416;-0.016355997;-0.024000976;-0.028028985;-0.024737077;-0.018124538;-0.011733265;-0.0034529;-0.000272416
14.4;62.12;2.61;64.5;24;30.1;0.916;2.4;131;5.42;42.8;0.585;0;0.0025;-0.002366228;-0.008693313;-0.004006072;-0.006609864;-0.002894189;-0.008973645;-0.006386677;-0.00047261;7.05181E-05;-0.000354071;-0.00025123;-0.003288668;-0.010087661;-0.015389354;-0.022612879;-0.026512858;-0.023425067;-0.017187396;-0.011067878;-0.003412033;-0.000390182
13;51.34;2.71;63.5;29.7;29.9;0.964;2.46;117;6.28;41.8;0.512;0;0.0025;-0.003456028;-0.009748524;-0.005274329;-0.007680044;-0.004048799;-0.010081337;-0.007182605;-0.001190701;-0.000590864;-0.001093784;-0.000118362;-0.003533044;-0.011261352;-0.016979782;-0.024892556;-0.02901078;-0.025565105;-0.018698437;-0.012124368;-0.003539824;-0.000229775
15.1;31.29;2.4;55.7;28.8;29.7;0.697;2.32;125;5.54;42.2;0.618;0;0.0025;-0.00251428;-0.008658211;-0.003862534;-0.006743383;-0.003051772;-0.008835307;-0.00614776;-0.00040205;0.00011272;-0.00044815;-0.000242641;-0.003091543;-0.009667354;-0.015178987;-0.022421436;-0.026372897;-0.02323929;-0.016969394;-0.010886431;-0.003522809;-0.000428054
12.8;39.77;2.64;64.5;27;30.9;0.883;2.17;154;4.42;41.1;0.483;0;0.0025;-0.004066625;-0.010028537;-0.005479482;-0.00742627;-0.003707614;-0.009592509;-0.006479938;-0.000671983;-7.74389E-05;-0.00045736;0.000156996;-0.003119807;-0.010998799;-0.01691134;-0.025007678;-0.029229544;-0.025615321;-0.018530084;-0.011869829;-0.003173744;5.24522E-05
13.3;49.21;2.84;59.2;34.7;31.2;0.782;2.45;143;4.59;43.8;0.515;0;0.0025;-0.003717534;-0.009526791;-0.004803816;-0.006828164;-0.003360202;-0.009055116;-0.006229471;-0.000557527;0.000009733;-0.00025991;6.27753E-05;-0.003037736;-0.010502189;-0.016362648;-0.024232388;-0.028394595;-0.024899147;-0.0180129;-0.011524382;-0.003264542;-7.53768E-05
13.3;56.84;2.76;67.3;29.7;29.8;1.07;2.27;128;5.48;42.3;0.577;0;0.0025;-0.002064857;-0.008695792;-0.004103374;-0.006886659;-0.00318435;-0.009608018;-0.006997678;-0.000802333;-0.000203357;-0.000698037;-0.000376506;-0.003619134;-0.010619732;-0.01581392;-0.0230359;-0.026901508;-0.023847513;-0.017641237;-0.011451879;-0.003552768;-0.000489199
12.4;62.86;2.06;66.7;26.9;29.8;0.875;2.53;130;4.03;42.3;0.619;0;0.0025;-0.001849589;-0.008161888;-0.003202346;-0.005978529;-0.002770934;-0.0091218;-0.006723637;-0.000628684;0.000005965;-0.000254025;-0.000457211;-0.003535561;-0.010252495;-0.015605367;-0.022767693;-0.026648846;-0.023618208;-0.017470155;-0.011324514;-0.003766397;-0.000622339
12.5;56.8;2.73;71;28.7;31;0.875;2.47;147;5.41;41.8;0.646;0;0.0025;-0.001413831;-0.007725042;-0.002662917;-0.005398406;-0.002133123;-0.008568051;-0.006278063;-0.000182781;0.000445558;0.000267172;-0.000465054;-0.003391471;-0.009778282;-0.014968942;-0.021884501;-0.025685368;-0.022788368;-0.016869133;-0.010894501;-0.003670657;-0.000645036
14.2;34.2;2.04;62.1;31.2;31.7;0.974;2.58;134;4.97;41.9;0.606;0;0.0025;-0.001908405;-0.008277122;-0.003463428;-0.006035057;-0.002398659;-0.008644834;-0.006229812;-0.000262495;0.000289325;-2.01168E-05;-0.000323979;-0.003316906;-0.009904458;-0.015024601;-0.02202107;-0.025835264;-0.022889085;-0.016875025;-0.010878755;-0.003416462;-0.00047001
13.5;68.63;2.84;66.5;27.9;30.7;0.796;2.41;125;4.09;42;0.559;0;0.0025;-0.003123334;-0.009226267;-0.004504085;-0.007056462;-0.003545348;-0.009413479;-0.006611203;-0.000770333;-0.00019649;-0.000649883;-0.000141968;-0.003262184;-0.01046601;-0.016163686;-0.0238163;-0.027891044;-0.024548873;-0.017896809;-0.011529519;-0.003509722;-0.000290959
11.2;45.24;2.1;68.4;28.9;29.6;0.75;2.85;131;4.43;40.8;0.558;0;0.0025;-0.00304716;-0.008885092;-0.003797326;-0.006059862;-0.003140639;-0.009300879;-0.006614571;-0.000681776;1.8995E-06;-6.67574E-05;-0.000169143;-0.003326914;-0.010638007;-0.016502097;-0.024282394;-0.028400205;-0.02500458;-0.018244129;-0.011760882;-0.003657398;-0.000327484
13.4;37.57;2.22;57.6;29.5;29.7;1.01;2.94;135;5.1;42.8;0.457;0;0.0025;-0.003959223;-0.009908551;-0.005366874;-0.006953964;-0.003241215;-0.009221772;-0.006351283;-0.000594759;-3.64245E-05;-0.000237819;0.000149447;-0.003159329;-0.011035678;-0.016725043;-0.024728978;-0.02888727;-0.025378631;-0.018412033;-0.01182382;-0.003080192;4.58371E-05
14;64.54;2.68;66.9;32.7;30.6;0.928;2.33;127;5.79;41;0.55;0;0.0025;-0.002977767;-0.009280887;-0.004694015;-0.007228016;-0.00344747;-0.009451616;-0.006610299;-0.000686573;-0.000128246;-0.000648468;-0.000126061;-0.003297654;-0.010510909;-0.015999783;-0.023565967;-0.027579773;-0.024309041;-0.017756945;-0.011446152;-0.003368364;-0.000248757
14;61.32;2.81;65.2;33.8;30.9;0.849;2.85;142;7.48;42.8;0.534;0;0.0025;-0.0033904;-0.009206259;-0.004400995;-0.006245979;-0.002728321;-0.008471657;-0.005808328;-0.000181694;0.000353635;0.000207282;7.75136E-05;-0.002924956;-0.010127484;-0.015723826;-0.02336992;-0.02743155;-0.024087517;-0.017422242;-0.011120198;-0.003088709;-6.14118E-05
13.3;35.09;2.59;60.2;35.8;30.7;0.632;2.48;123;3.9;42.6;0.572;0;0.0025;-0.003388742;-0.009237439;-0.004370076;-0.006919355;-0.0036086;-0.009264912;-0.006465774;-0.000764394;-0.000189181;-0.00059057;-0.00010729;-0.003124708;-0.010303352;-0.016262872;-0.023995347;-0.028148979;-0.024718389;-0.01794325;-0.011530256;-0.003604137;-0.000288291
13.2;46.62;2.24;60.2;37.2;28.8;0.799;2.8;140;5.34;42.3;0.481;0;0.0025;-0.00424197;-0.00988471;-0.00516312;-0.00682195;-0.003313478;-0.008962559;-0.006039144;-0.000461502;0.000100531;-0.000085528;0.000217365;-0.002922782;-0.010684701;-0.016657107;-0.024725717;-0.028966507;-0.025358623;-0.01828676;-0.011666866;-0.003110198;8.13508E-05
13.2;61.53;2.01;58.1;22.3;30.9;0.652;2.79;153;5.11;43.2;0.573;0;0.0025;-0.00323298;-0.008824189;-0.003740184;-0.005686472;-0.002492052;-0.008138682;-0.00559564;-0.000029434;0.000534252;0.000499302;0.000040841;-0.00279947;-0.009752805;-0.015546689;-0.023134794;-0.02721145;-0.02386221;-0.017216492;-0.010955254;-0.003247869;-0.000138776
14.1;59.53;2.37;66.7;29.1;28.5;0.716;2.59;123;6.24;40.8;0.506;0;0.002;-0.00415785;-0.009946179;-0.005305972;-0.007435084;-0.003783159;-0.009285765;-0.006270436;-0.000687584;-0.00015085;-0.000580635;0.000139165;-0.002976592;-0.010580328;-0.016605893;-0.024595736;-0.028837457;-0.025252648;-0.018237833;-0.011660628;-0.003278921;-9.6059E-06
13.4;35.14;2.97;68.9;29.1;29.7;0.687;2.08;129;5.52;42.3;0.63;0;0.0025;-0.002280085;-0.008534183;-0.003685954;-0.006824505;-0.003336235;-0.009316934;-0.006575045;-0.000625709;-3.82941E-05;-0.000645939;-0.000359328;-0.003280709;-0.009929227;-0.015514683;-0.022817561;-0.026789304;-0.023629017;-0.017318629;-0.011159662;-0.00373108;-0.000545328
13;52.47;2.62;68.8;35.7;31.1;0.996;2.21;139;6.12;41.5;0.579;0;0.0025;-0.002232513;-0.008704584;-0.004019815;-0.006678889;-0.003049735;-0.009350463;-0.006696161;-0.000573012;3.43214E-05;-0.00039401;-0.000282239;-0.003443102;-0.010422845;-0.015710065;-0.023020346;-0.02692356;-0.023809586;-0.01751526;-0.011316768;-0.003455372;-0.000403162
13.3;67.48;2.47;63.1;18.9;30.8;1.05;2.97;125;5.06;41.9;0.628;0;0.0025;-0.001310526;-0.00778017;-0.002820841;-0.005464154;-0.00211598;-0.0087028;-0.006526079;-0.000405617;0.000188951;2.58314E-05;-0.00053739;-0.003613373;-0.010091187;-0.015059228;-0.021846972;-0.025574205;-0.022782208;-0.016994204;-0.011045376;-0.003667745;-0.000690676
12.1;31.45;2.92;69.4;19.2;30.5;0.903;2.21;134;5.28;44;0.581;0;0.0025;-0.002405774;-0.008748248;-0.004016809;-0.006729649;-0.003417227;-0.009674774;-0.007051964;-0.00092574;-0.000276484;-0.000652238;-0.00035337;-0.003575022;-0.010702972;-0.016236026;-0.023734422;-0.027715195;-0.02448806;-0.018019551;-0.011678035;-0.003706636;-0.000486622
13.8;40.99;2.43;58.9;34.3;29.6;1.02;2.12;121;3.63;41;0.452;0;0.0025;-0.004355703;-0.010806687;-0.006729426;-0.009066277;-0.004878372;-0.010902345;-0.007621769;-0.001608021;-0.001040159;-0.001821651;5.57975E-05;-0.003626494;-0.012016466;-0.017965542;-0.026237423;-0.030487567;-0.026819274;-0.019595657;-0.012733215;-0.00348581;-2.09738E-05
14.8;32.26;2.89;67.8;23.4;27.9;0.957;2.58;117;7.57;43;0.612;0;0.0025;-0.001972483;-0.008425993;-0.003731283;-0.006541589;-0.00281667;-0.009040812;-0.006572009;-0.000605138;-7.11057E-05;-0.000540505;-0.00040323;-0.003453939;-0.010091591;-0.0152568;-0.022265883;-0.02609014;-0.023134071;-0.017106196;-0.011073275;-0.003566145;-0.000551913
12.3;42.61;2.5;67.5;31.8;31.2;1.05;2.56;128;5.98;43;0.635;0;0.0025;-0.001063397;-0.007687148;-0.002780038;-0.005706607;-0.00245789;-0.009205178;-0.006995573;-0.000689782;-0.000039066;-0.000281797;-0.000668226;-0.003820185;-0.010352205;-0.015368902;-0.022188215;-0.02592352;-0.023115052;-0.017310651;-0.011311978;-0.003872803;-0.000818248
13.3;56.83;2.47;62.6;35.1;29.6;1.09;2.13;128;6.01;43.1;0.572;0;0.0025;-0.002171257;-0.008868046;-0.00437603;-0.007217548;-0.003433068;-0.00986059;-0.007169739;-0.000937835;-0.00033711;-0.000916292;-0.000369716;-0.003669929;-0.010787296;-0.016009301;-0.023301722;-0.027183661;-0.02408814;-0.017814694;-0.011576082;-0.003558965;-0.000472569
13.6;30.47;2.1;61.4;26.1;29.5;0.82;2.87;114;4.93;42.9;0.604;0;0.0025;-0.002404811;-0.008549818;-0.003651047;-0.006281533;-0.002994454;-0.009078283;-0.00660798;-0.000733797;-0.000162126;-0.000457751;-0.000353126;-0.003413999;-0.010242402;-0.01572498;-0.023023844;-0.026971824;-0.023851473;-0.017557101;-0.011361004;-0.003705041;-0.000525586
14.8;55.44;2.78;52.9;24.5;31.1;0.604;2.34;153;5.19;41.1;0.609;0;0.002;-0.002895747;-0.008694534;-0.003720404;-0.006108374;-0.002524267;-0.008052992;-0.005376503;0.000183544;0.000693159;0.00037013;1.04936E-05;-0.002667118;-0.009243139;-0.014889256;-0.022245985;-0.026248988;-0.02301415;-0.016591124;-0.010522338;-0.003204834;-0.00018502
12.6;46.34;2.63;67.6;36.3;29;1.05;2.8;136;5.61;43.8;0.625;0;0.0025;-0.001395903;-0.00783079;-0.002888721;-0.005414904;-0.002181146;-0.008787822;-0.006628528;-0.000468591;0.000156478;0.000072319;-0.000515953;-0.003633659;-0.010239086;-0.01527832;-0.022182532;-0.025940979;-0.023084259;-0.017190836;-0.011168544;-0.003667167;-0.000661133
15.4;67.2;2.33;60;44.5;28;0.667;3;143;4.29;41;0.611;0;0.002;-0.002722048;-0.00843349;-0.00335013;-0.005478208;-0.00202716;-0.007616203;-0.005158557;0.000316371;0.000798925;0.000659239;-1.38472E-05;-0.002687;-0.009143166;-0.014606226;-0.02181626;-0.025741512;-0.022624513;-0.016369067;-0.010393402;-0.003160702;-0.000212723
13.4;34.18;2.13;66.4;33.4;29.8;0.601;2.96;118;2.93;40.2;0.6;0;0.0025;-0.002982539;-0.008755714;-0.003636276;-0.006155745;-0.002999127;-0.008717753;-0.006118065;-0.000454059;0.000114738;-0.000139451;-0.000162113;-0.003060277;-0.00991109;-0.01574071;-0.023251226;-0.02732171;-0.024035977;-0.017491745;-0.011227002;-0.003633376;-0.000369261
14.8;65.41;2.81;66.4;27.8;29.8;0.788;2.72;137;5.49;41.1;0.483;0;0.002;-0.004400706;-0.010071699;-0.005473156;-0.007177181;-0.003377061;-0.008789429;-0.005794051;-0.000337761;0.000163022;-0.000155761;0.000297609;-0.0027714;-0.010442429;-0.01637429;-0.024385316;-0.028624177;-0.02502853;-0.017998526;-0.011443794;-0.00296612;0.000159051
13.2;61.25;2.49;57.2;40.9;30.3;1.07;2.66;137;4.6;41.7;0.452;0;0.0025;-0.003969898;-0.010113885;-0.005683117;-0.007376886;-0.003524482;-0.009614322;-0.006652477;-0.000755274;-0.000181325;-0.000497402;0.000135132;-0.00329286;-0.011332548;-0.017008798;-0.025078284;-0.029238222;-0.025704943;-0.01869026;-0.01203989;-0.003118067;5.08462E-05
13.4;31.23;2.88;68.2;23;29.5;0.951;2.02;123;4.02;43.8;0.512;0;0.0025;-0.003555948;-0.009986782;-0.00568593;-0.008411389;-0.004577797;-0.01058403;-0.007494792;-0.001461031;-0.000872851;-0.001635856;-0.000146375;-0.003619546;-0.011427278;-0.017204847;-0.025156258;-0.029293964;-0.02580253;-0.018881412;-0.012266926;-0.003612501;-0.000248151
13.7;60.81;2.99;59.7;25.3;30;0.981;2.89;150;5.71;42.1;0.571;0;0.0025;-0.002432588;-0.008514969;-0.003598201;-0.005591584;-0.002103898;-0.008248955;-0.005807905;0.000026782;0.000583451;0.000514969;-0.000099161;-0.003082567;-0.009905358;-0.015109086;-0.022346204;-0.0262264;-0.023150112;-0.01690807;-0.010827982;-0.003127075;-0.000230443
12.2;46.74;2.27;65.4;29;30.1;0.648;2.15;143;6.26;42.5;0.569;0;0.0025;-0.003245756;-0.009142282;-0.004268436;-0.006788564;-0.003515821;-0.009287039;-0.006470091;-0.000636265;-6.9382E-06;-0.000365439;-9.60492E-05;-0.003129683;-0.010348395;-0.01630654;-0.02408941;-0.02823625;-0.024776306;-0.01796296;-0.011521807;-0.003555825;-0.00025968
13.5;36;2.45;72.7;25;28.3;0.673;2.66;136;4.33;41.6;0.488;0;0.002;-0.004503711;-0.01003376;-0.005293954;-0.007102442;-0.003608406;-0.009004428;-0.006003468;-0.000530299;1.87848E-05;-0.000253757;0.000251266;-0.00282547;-0.01056868;-0.016746242;-0.024881087;-0.029192697;-0.025507502;-0.018346526;-0.011680396;-0.003177506;9.60501E-05
13.2;58.97;2.51;64.4;37.8;30.1;0.702;2.6;131;5.29;42.3;0.472;0;0.0025;-0.004738255;-0.010326374;-0.005711162;-0.007535828;-0.003986278;-0.009517692;-0.006378341;-0.000846414;-0.00028299;-0.000619833;0.000242216;-0.002974177;-0.010990432;-0.017265301;-0.025551958;-0.029914472;-0.026151497;-0.018851781;-0.012050628;-0.00327288;9.78182E-05
13.2;53.73;2.67;73.5;29.6;28.9;0.996;2.43;127;3.84;42.4;0.49;0;0.0025;-0.003631352;-0.009880124;-0.005453211;-0.007626021;-0.003904964;-0.009932647;-0.007021526;-0.001073848;-0.000488537;-0.000936288;-3.33645E-05;-0.003456407;-0.01128608;-0.01698712;-0.024948277;-0.02907987;-0.025601942;-0.01868432;-0.012088952;-0.003393095;-0.000133607
11.6;35.17;2.69;70.3;24.9;32.7;0.896;2.46;123;6.23;42;0.53;0;0.0025;-0.003172103;-0.009370812;-0.004678935;-0.007133064;-0.003893714;-0.0100791;-0.007277526;-0.001189333;-0.000518833;-0.000862735;-0.00021425;-0.00360678;-0.011250853;-0.017041413;-0.02495141;-0.02907239;-0.025630925;-0.018781614;-0.012187606;-0.003705192;-0.000335586
12.8;67.82;2.01;62;29.9;30.6;1.04;2.84;135;5.4;42.9;0.572;0;0.0025;-0.002207773;-0.008497642;-0.003659623;-0.005884335;-0.002528972;-0.008884292;-0.006513833;-0.000473576;0.000133035;2.54877E-05;-0.000278209;-0.003449377;-0.010440322;-0.015667811;-0.022938611;-0.026814012;-0.023742897;-0.017493088;-0.011307712;-0.003425177;-0.000399123
13.2;32.5;2.11;68.7;27.2;29.4;0.994;2.32;121;4.87;43.8;0.606;0;0.0025;-0.001783962;-0.008376131;-0.003684945;-0.006676829;-0.003154277;-0.009605985;-0.007097213;-0.000913636;-0.000308558;-0.000795422;-0.000517704;-0.003699131;-0.010488851;-0.01571413;-0.022812491;-0.026655179;-0.023665648;-0.017576002;-0.01143749;-0.003770148;-0.000657537
11.9;33.53;2.47;62.8;22.1;31.9;0.803;2.68;142;5.47;42.4;0.529;0;0.0025;-0.003398046;-0.009210009;-0.004300571;-0.006304024;-0.003140098;-0.009061958;-0.006376258;-0.000551853;0.000085084;-2.11005E-05;-2.47533E-05;-0.003174122;-0.010628009;-0.016464593;-0.024327407;-0.02846513;-0.02501;-0.018155068;-0.011656752;-0.003402139;-0.000165924
