Ec;Rel;Erat_1;E50_1;c_1;phi_1;k0_1;Erat_2;E50_2;c_2;phi_2;k0_2;U_251_1;U_260_1;U_281_1;U_289_1;U_295_1;U_403_1;U_251_2;U_260_2;U_281_2;U_289_2;U_295_2;U_403_2;U_320_19.2;U_318_19.2;U_316_19.2;U_315_19.2;U_314_19.2;U_313_19.2;U_312_19.2;U_311_19.2;U_310_19.2;U_308_19.2;U_306_19.2
12.9;31.24;2.16;66;24.4;29;1.04;2.1;133;4.85;44.1;0.471;0;0.0025;-0.003812463;-0.010206421;-0.005964523;-0.00824229;-0.00439277;-0.010543229;-0.007471368;-0.001408951;-0.000806662;-0.001398762;-4.69417E-05;-0.003634876;-0.011764487;-0.017553737;-0.025671152;-0.029836169;-0.026264204;-0.01919903;-0.012461536;-0.003472159;-0.000119954
13.4;55.75;2.07;68.9;36.3;29.9;0.814;2.78;149;5.36;42.2;0.457;0;0.0025;-0.0045214;-0.010078947;-0.00538043;-0.006861701;-0.00324324;-0.008860726;-0.005833923;-0.00032486;0.000223308;4.00942E-05;0.000321243;-0.002799893;-0.010669144;-0.01667196;-0.024812873;-0.029090263;-0.025431974;-0.018287841;-0.01163418;-0.002963824;0.000187119
12.7;68.38;2.17;72.3;32.7;30.5;1.04;2.61;127;3.96;42.4;0.514;0;0.0025;-0.003148103;-0.009434926;-0.004864332;-0.007023516;-0.003484857;-0.009672722;-0.006948674;-0.000920198;-0.000310396;-0.000618001;-0.000124603;-0.003505165;-0.011126849;-0.016656576;-0.024441801;-0.028487863;-0.025134167;-0.018406719;-0.011919246;-0.003418291;-0.000226453
13.3;34.6;2.64;57.5;30.1;31.2;0.808;2.86;141;7.65;42.7;0.477;0;0.0025;-0.004202668;-0.009834316;-0.005110282;-0.00672404;-0.003210884;-0.00886238;-0.005968067;-0.000405564;0.000150666;-8.6878E-06;0.000223055;-0.00289746;-0.010623921;-0.016559416;-0.02459861;-0.028825358;-0.025234919;-0.018190762;-0.011597027;-0.003072431;8.77637E-05
14;43.65;2.5;68.5;38.9;28.5;0.713;2.27;120;5;42.7;0.476;0;0.002;-0.00471365;-0.010572197;-0.006184564;-0.008471463;-0.004715026;-0.010140677;-0.006920402;-0.001305052;-0.000760894;-0.001411045;0.000141814;-0.003195376;-0.011266327;-0.017563248;-0.025856173;-0.030217152;-0.02644517;-0.01914092;-0.012306011;-0.003469256;7.2637E-06
13.4;68.66;2.21;74.6;32;30.4;0.629;2.5;134;5.02;40.8;0.541;0;0.002;-0.00385413;-0.009545919;-0.004690692;-0.006881853;-0.00345596;-0.00894412;-0.006056723;-0.000464543;0.000098656;-0.0002294;9.76042E-05;-0.002889406;-0.010242796;-0.0162867;-0.024171282;-0.028380461;-0.024844289;-0.01791758;-0.011426247;-0.003326484;-6.94101E-05
16.6;44.55;2.74;65.9;30.6;29.2;0.992;2.36;123;3.72;43.7;0.528;0;0.002;-0.003264295;-0.009573393;-0.005249786;-0.007668673;-0.003478306;-0.009247205;-0.006449114;-0.000714836;-0.000247653;-0.000872402;-4.31981E-05;-0.003213946;-0.010448304;-0.015829436;-0.023342047;-0.027321398;-0.02407552;-0.017554114;-0.011301301;-0.00318294;-0.000153758
13;34.48;2.13;58.7;39;30.5;0.767;2.19;132;3.73;41.9;0.495;0;0.0025;-0.004287068;-0.010219685;-0.005715942;-0.007960572;-0.0043386;-0.009976987;-0.006860408;-0.001101678;-0.000513217;-0.001044051;8.99618E-05;-0.00323381;-0.011185827;-0.017323982;-0.025520349;-0.029809164;-0.02612041;-0.01892804;-0.012168636;-0.00343602;-3.53068E-05
13.4;54.99;2.75;58.9;24.7;29.9;0.758;2.31;134;6.74;41.6;0.582;0;0.0025;-0.002897664;-0.008973;-0.004160323;-0.006732673;-0.00322455;-0.009130633;-0.006335663;-0.000497766;7.95171E-05;-0.00033486;-0.000136116;-0.0031412;-0.010131574;-0.01578137;-0.023320038;-0.027356645;-0.024067992;-0.017517418;-0.011244562;-0.003449183;-0.000293518
12.6;44.63;2.56;62.6;35.4;31.5;0.862;2.67;144;4.03;41.7;0.525;0;0.0025;-0.003298082;-0.009199908;-0.004349849;-0.006337045;-0.002979397;-0.008903191;-0.006215343;-0.000408774;0.000194037;4.68875E-05;-9.84E-08;-0.003121376;-0.010481994;-0.016160954;-0.023918936;-0.028005557;-0.024618339;-0.017867152;-0.01145907;-0.003273668;-0.000132935
13.7;54.1;2.56;62.2;35.2;30.1;1.06;2.38;128;5.64;42;0.458;0;0.0025;-0.003957617;-0.010275966;-0.006015876;-0.008054308;-0.004035745;-0.010122912;-0.007070907;-0.001121699;-0.000559054;-0.001076689;5.85587E-05;-0.003453723;-0.011529449;-0.017244816;-0.02531266;-0.029471606;-0.025931261;-0.018908234;-0.012230339;-0.003277205;-1.81343E-05
13;32.72;2.87;62;31.7;29.7;0.973;2.59;143;4.79;41.1;0.547;0;0.0025;-0.002740325;-0.008915248;-0.004124447;-0.006283511;-0.00277392;-0.008893523;-0.006291513;-0.000348072;0.000245479;3.94545E-05;-0.000105895;-0.003236624;-0.010382234;-0.015775943;-0.023279333;-0.027246268;-0.024026223;-0.017544882;-0.011279864;-0.003264374;-0.000225493
12;61.4;2.19;62;26.3;31;1.08;2.24;123;5.44;40.2;0.633;0;0.0025;-0.001147353;-0.007983355;-0.003207562;-0.006465788;-0.00306331;-0.009852458;-0.007379791;-0.000922418;-0.00024628;-0.000750534;-0.000673755;-0.003925458;-0.010637493;-0.015707582;-0.022653755;-0.026425688;-0.02354391;-0.017625649;-0.011523944;-0.00391434;-0.000806658
