index,column,value_true,value_pred,err_percent
1,SF_6652_19,1077.7096590180001,1061.15951636096,1.5356773059007858
2,SF_6651_19,-664.1571265411,-701.5751102606458,5.633905325147533
3,SF_6650_19,-3454.46674751,-3523.972490286675,2.0120541854043106
4,SF_6649_19,-7930.760521199999,-7999.731148489588,0.8696596890704407
5,SF_6648_19,-14590.414391,-14686.704040244816,0.6599514356782894
6,SF_6647_19,-23648.157283,-23777.672651941146,0.5476763681466649
7,SF_6646_19,-35133.406876,-35285.18032211291,0.4319918266070165
8,SF_6645_19,-48679.35364,-48849.53613905271,0.34959892917080504
9,SF_6644_19,-62978.00001900001,-63176.88109196249,0.31579452015383314
10,SF_6643_19,-75717.18878600001,-75897.61010581437,0.2382831728265575
11,SF_6642_19,-79650.17336100001,-79753.30949915246,0.1294863950703555
12,SF_6641_19,-64167.557449,-64166.1631857318,-0.002172847656402041
13,SF_6624_19,28211.434807999998,28308.241313550985,-0.3431463383901878
14,SF_6623_19,115325.75242399999,115598.53207810252,-0.2365296981541859
15,SF_6622_19,122793.249227,123149.18582220862,-0.2898665826088091
16,SF_6621_19,94014.66156299999,94310.30729338313,-0.31446768564393185
17,SF_6620_19,56195.362212,56384.27754179381,-0.33617601588030865
18,SF_6619_19,28126.662382,28286.845239689483,-0.5695053878557417
19,SF_6618_19,15955.193293000002,16040.72398966796,-0.536068069482323
20,SF_6617_19,17751.715189000002,17814.340881232798,-0.3527867114024127
21,SF_6616_19,30094.461277000002,30159.801060714097,-0.21711564501083547
22,SF_6615_19,32198.772362999996,32250.476096923736,-0.1605767242950942
23,SF_6614_19,20681.808355999998,20704.067199899364,-0.10762523042579433
24,SF_6613_19,9764.9792428,9762.339389855068,0.027033881786066666
25,SF_6612_19,-2213.414916147,-2277.009756861685,2.873154972018888
26,SF_6611_19,-15119.317477,-15201.644483981541,0.5445153665618788
27,SF_6610_19,-29710.032406,-29760.639102401947,0.170335379343875
28,SF_6609_19,-44387.453988,-44456.76635849023,0.15615306637990592
29,SF_6608_19,-58678.500143000005,-58755.01821063373,0.13040222133703264
30,SF_6607_19,-72405.940886,-72473.9287201361,0.09389814330725639
31,SF_6606_19,-82583.20229700001,-82637.15949853977,0.0653367755656978
32,SF_6605_19,-80809.364829,-80778.5229916114,-0.038166167317189574
33,SF_6604_19,991.65273117074,846.8256111648143,14.604620695688862
34,SF_6581_19,102396.83792,102655.03833503598,-0.25215662932648075
35,SF_6580_19,83862.172391,84132.81116752511,-0.322718537820942
36,SF_6579_19,72876.32846599999,73180.3003781402,-0.4171065125516272
37,SF_6578_19,71725.38395100001,71916.74352610351,-0.2667947727323874
38,SF_6577_19,59162.23951199999,59296.98081788267,-0.2277488259303451
39,SF_6576_19,32763.368413000004,32892.35785210808,-0.3937001760078285
40,SF_6575_19,15506.720733,15539.742062719735,-0.2129485033509512
41,SF_6574_19,-777.2187262929,-809.5154767394498,4.155426182356108
42,SF_6573_19,-26413.79907,-26538.239066678514,0.4711173744781315
43,SF_6572_19,-58404.80581400001,-58555.39121267827,0.25783049284989507
44,SF_6571_19,-94322.535061,-94501.78125278022,0.1900353840832334
45,SF_6570_19,-134426.18550800002,-134659.75977513054,0.17375652388545917
46,SF_6569_19,-132561.00396600002,-132857.23641000988,0.2234687692059419
47,SF_6568_19,-91201.86380999998,-91442.96731476329,0.2643624753827331
48,SF_6567_19,-47989.220381,-48164.96432115923,0.36621545164507047
49,SF_6566_19,8125.244749072699,8117.059505899678,0.1007384198975103
50,SF_6709_19,82265.927403,82486.5369706869,-0.2681663899638429
51,SF_6708_19,82479.06422999999,82658.50352154151,-0.21755738042946376
