column,value_true,value_pred,err_percent
SF_6652_19,1077.7096590180001,1061.15951636096,1.5356773059007858
SF_6651_19,-664.1571265411,-701.5751102606458,5.633905325147533
SF_6650_19,-3454.46674751,-3523.972490286675,2.0120541854043106
SF_6649_19,-7930.760521199999,-7999.731148489588,0.8696596890704407
SF_6648_19,-14590.414391,-14686.704040244816,0.6599514356782894
SF_6647_19,-23648.157283,-23777.672651941146,0.5476763681466649
SF_6646_19,-35133.406876,-35285.18032211291,0.4319918266070165
SF_6645_19,-48679.35364,-48849.53613905271,0.34959892917080504
SF_6644_19,-62978.00001900001,-63176.88109196249,0.31579452015383314
SF_6643_19,-75717.18878600001,-75897.61010581437,0.2382831728265575
SF_6642_19,-79650.17336100001,-79753.30949915246,0.1294863950703555
SF_6641_19,-64167.557449,-64166.1631857318,-0.002172847656402041
SF_6624_19,28211.434807999998,28308.241313550985,-0.3431463383901878
SF_6623_19,115325.75242399999,115598.53207810252,-0.2365296981541859
SF_6622_19,122793.249227,123149.18582220862,-0.2898665826088091
SF_6621_19,94014.66156299999,94310.30729338313,-0.31446768564393185
SF_6620_19,56195.362212,56384.27754179381,-0.33617601588030865
SF_6619_19,28126.662382,28286.845239689483,-0.5695053878557417
SF_6618_19,15955.193293000002,16040.72398966796,-0.536068069482323
SF_6617_19,17751.715189000002,17814.340881232798,-0.3527867114024127
SF_6616_19,30094.461277000002,30159.801060714097,-0.21711564501083547
SF_6615_19,32198.772362999996,32250.476096923736,-0.1605767242950942
SF_6614_19,20681.808355999998,20704.067199899364,-0.10762523042579433
SF_6613_19,9764.9792428,9762.339389855068,0.027033881786066666
SF_6612_19,-2213.414916147,-2277.009756861685,2.873154972018888
SF_6611_19,-15119.317477,-15201.644483981541,0.5445153665618788
SF_6610_19,-29710.032406,-29760.639102401947,0.170335379343875
SF_6609_19,-44387.453988,-44456.76635849023,0.15615306637990592
SF_6608_19,-58678.500143000005,-58755.01821063373,0.13040222133703264
SF_6607_19,-72405.940886,-72473.9287201361,0.09389814330725639
SF_6606_19,-82583.20229700001,-82637.15949853977,0.0653367755656978
SF_6605_19,-80809.364829,-80778.5229916114,-0.038166167317189574
SF_6604_19,991.65273117074,846.8256111648143,14.604620695688862
SF_6581_19,102396.83792,102655.03833503598,-0.25215662932648075
SF_6580_19,83862.172391,84132.81116752511,-0.322718537820942
SF_6579_19,72876.32846599999,73180.3003781402,-0.4171065125516272
SF_6578_19,71725.38395100001,71916.74352610351,-0.2667947727323874
SF_6577_19,59162.23951199999,59296.98081788267,-0.2277488259303451
SF_6576_19,32763.368413000004,32892.35785210808,-0.3937001760078285
SF_6575_19,15506.720733,15539.742062719735,-0.2129485033509512
SF_6574_19,-777.2187262929,-809.5154767394498,4.155426182356108
SF_6573_19,-26413.79907,-26538.239066678514,0.4711173744781315
SF_6572_19,-58404.80581400001,-58555.39121267827,0.25783049284989507
SF_6571_19,-94322.535061,-94501.78125278022,0.1900353840832334
SF_6570_19,-134426.18550800002,-134659.75977513054,0.17375652388545917
SF_6569_19,-132561.00396600002,-132857.23641000988,0.2234687692059419
SF_6568_19,-91201.86380999998,-91442.96731476329,0.2643624753827331
SF_6567_19,-47989.220381,-48164.96432115923,0.36621545164507047
SF_6566_19,8125.244749072699,8117.059505899678,0.1007384198975103
SF_6709_19,82265.927403,82486.5369706869,-0.2681663899638429
SF_6708_19,82479.06422999999,82658.50352154151,-0.21755738042946376
SF_6707_19,74408.600317,74498.7397371365,-0.12114113120321013
SF_6706_19,61276.753548999994,61352.36023148021,-0.12338558768417679
SF_6705_19,45701.578197999996,45769.20139925966,-0.14796688413404918
SF_6704_19,29907.967712,29948.653675757676,-0.13603720637076255
SF_6703_19,13747.438083500001,13771.346437450298,-0.1739113411901272
SF_6702_19,-2723.7406963999997,-2725.3447288260363,0.05889079045434388
SF_6701_19,-18808.044969000002,-18838.5846131196,0.1623754312047602
SF_6700_19,-33994.974842999996,-34043.267955636766,0.14205956280245208
SF_6699_19,-48599.971796000005,-48675.59243510109,0.15559811313987112
SF_6698_19,-62747.993227,-62816.895403363575,0.10980777682293665
SF_6697_19,-74370.201854,-74437.59199474084,0.09061443839178794
SF_6696_19,-81059.21100599998,-81142.43921476661,0.10267581898923728
SF_6695_19,-78135.063704,-78373.54911931067,0.3052220142983806
SF_6716_19,-12041.430303436,-12020.998541204664,-0.1696788646902306
SF_6717_19,47056.565083999994,47271.90413418254,-0.45761744359825285
SF_6718_19,93348.22783399999,93672.03466041764,-0.3468805288874645
SF_6719_19,136277.39907599997,136568.76525569014,-0.21380374270841612
SF_6720_19,138221.863166,138551.49829079464,-0.23848262296881567
SF_6721_19,96497.89257699999,96666.29932314508,-0.17451857408254917
SF_6722_19,59860.27994,59954.89856511522,-0.15806579122258876
SF_6723_19,28246.571934,28264.27516356346,-0.0626739046593855
SF_6724_19,1450.962677644,1467.3389625582015,-1.128649631484146
SF_6725_19,-18024.386580000002,-18059.429665824275,0.19442040742266725
SF_6726_19,-33609.620368,-33764.43570321275,0.46062803898894755
SF_6727_19,-58423.150068,-58615.748830015546,0.3296617210666883
SF_6728_19,-69749.66580000002,-69955.9292106112,0.2957195683239818
