Column,p,q,LOO_error,Validation_error,Mean,Std,Time_seconds
U_251_1,,,,,,,6.32
U_260_1,3.0,1.0,0.0,0.0,1.9303769208099435e-07,0.00016936535128966965,8.67
U_281_1,3.0,1.0,0.0,0.0,-1.0591862435415806e-07,0.00013412352077613634,6.21
U_289_1,3.0,1.0,0.0,0.0,-5.395556683844186e-07,0.00012861742774508266,5.42
U_295_1,3.0,1.0,0.0,0.0,-1.5861807312369325e-07,0.0001354834771755498,5.62
U_403_1,3.0,1.0,0.0,0.0,-3.7968073352441094e-07,0.00010131599871528994,5.59
U_251_2,3.0,1.0,0.0,0.0,-3.0299296405745593e-07,8.96979502088425e-05,5.72
U_260_2,3.0,1.0,0.0,0.0,-8.917618454976736e-07,0.00012601012514793652,5.63
U_281_2,3.0,1.0,0.0,0.0,-7.062757858721209e-07,9.328828786944111e-05,5.27
U_289_2,3.0,1.0,0.0,0.0,-1.8845252462285477e-07,4.386965502923995e-05,5.07
U_295_2,3.0,1.0,0.0,0.0,-9.79041532266314e-08,3.9488228616081305e-05,5.11
U_403_2,3.0,1.0,0.0,0.0,-7.698322110837492e-08,4.5058328091271946e-05,5.08
U_320_19.2,3.0,1.0,0.0,0.0,-8.251253868096617e-08,3.508213557942048e-05,5.30
U_318_19.2,3.0,1.0,0.0,0.0,-3.6166553678733924e-07,5.078832968422955e-05,7.48
U_316_19.2,3.0,1.0,0.0,0.0,-9.245659272312173e-07,0.0001290910467464777,8.39
U_315_19.2,3.0,1.0,0.0,1511284.4207879,-0.01628006775938551,0.00010439047958459053,1.01
U_314_19.2,3.0,1.0,0.0,659838.6047717,-0.023924598811075594,0.0001667445294242882,0.99
U_313_19.2,3.0,1.0,0.0,0.0,-2.2478113432778336e-06,0.00032622439592201,8.25
U_312_19.2,3.0,1.0,0.0,0.0,-2.005147509112847e-06,0.0002823028894337754,8.23
U_311_19.2,3.0,1.0,0.0,0.0,-1.524430001378744e-06,0.00020414148545975562,8.33
U_310_19.2,3.0,1.0,0.0,0.0,-1.0191726025806748e-06,0.00013506344538969013,8.47
U_308_19.2,3.0,1.0,0.0,0.0,-3.9801640658086555e-07,5.7876096973773825e-05,8.51
U_306_19.2,3.0,1.0,0.0,0.0,-9.367360797309449e-08,3.827502609329939e-05,7.28
